game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
161,Saturday Oct 2,ARI,W,11,2,,51-110,5,55,Gallen,Senzatela,,3:17,N,19418,0,+, COL,Zac Gallen (R),Antonio Senzatela (R),W -133,O 8.5
160,Friday Oct 1,ARI,L,7,9,,50-110,5,56,Gilbreath,Wendelken,Estevez,3:22,N,15189,0,-----, COL,Humberto Castellanos (R),Jon Gray (R),L 101,O 9
159,Thursday Sep 30,ARI,L-wo,4,5,,50-109,5,55,Rogers,Mantiply,,3:28,N,27503,0,----, @ SF,Madison Bumgarner (L),Scott Kazmir (L),L 200,O 8.5
158,Wednesday Sep 29,ARI,L,0,1,,50-108,5,54,Leone,Ramirez,Doval,2:52,N,23110,0,---, @ SF,Merrill Kelly (R),Alex Wood (L),L 240,U 8
157,Tuesday Sep 28,ARI,L,4,6,,50-107,5,53,Alvarez,Poppen,Doval,3:42,N,28122,0,--, @ SF,Luke Weaver (R),Logan Webb (R),L 227,O 7.5
156,Sunday Sep 26,ARI,L,0,3,,50-106,5,52,Urias,Mejia,Jansen,3:28,D,16648,0,-, LAD,Humberto Mejia (R),Julio Urias (L),L 246,U 9
155,Saturday Sep 25,ARI,W,7,2,,50-105,5,51,Gallen,Kershaw,,3:07,N,28026,0,+, LAD,Zac Gallen (R),Clayton Kershaw (L),W 227,O 8.5
154,Friday Sep 24,ARI,L,2,4,,49-105,5,51,Gonsolin,Castellanos,Jansen,2:59,N,19001,0,-, LAD,Humberto Castellanos (R),Tony Gonsolin (R),L 211,U 10.5
153,Thursday Sep 23,ARI,W,6,4,,49-104,5,50,Poppen,Webb,Wendelken,2:56,D,6880,0,+, ATL,Madison Bumgarner (L),Charlie Morton (R),W 184,O 8.5
152,Wednesday Sep 22,ARI,L,2,9,,48-104,5,51,Anderson,Kelly,,3:00,N,10631,0,----, ATL,Merrill Kelly (R),Ian Anderson (R),L 150,O 9.5
151,Tuesday Sep 21,ARI,L,1,6,,48-103,5,50,Smyly,Weaver,,3:07,N,8879,0,---, ATL,Luke Weaver (R),Jesse Chavez (R),L 133,U 9.5
150,Monday Sep 20,ARI,L,4,11,,48-102,5,49,Webb,Mejia,,3:29,N,9642,0,--, ATL,Humberto Mejia (R),Huascar Ynoa (R),L 160,O 9
149,Sunday Sep 19,ARI,L,6,7,,48-101,5,48.5,Solomon,Sittinger,Pressly,3:17,D,23888,0,-, @ HOU,Zac Gallen (R),Zack Greinke (R),L 169,O 8.5
148,Saturday Sep 18,ARI,W,6,4,10,48-100,5,48.5,Wendelken,Garcia,Clippard,3:44,N,25314,0,+, @ HOU,Humberto Castellanos (R),Lance McCullers Jr. (R),W 245,O 9
147,Friday Sep 17,ARI,L-wo,3,4,10,47-100,5,48.5,Stanek,Clippard,,3:40,N,22595,0,----, @ HOU,Madison Bumgarner (L),Brandon Bielak (R),L 195,U 9.5
146,Wednesday Sep 15,ARI,L,3,5,,47-99,5,48,Urias,Kelly,Jansen,3:26,N,46520,0,---, @ LAD,Merrill Kelly (R),Julio Urias (L),L 348,P 8
145,Tuesday Sep 14,ARI,L,4,8,,47-98,5,48,Gonsolin,Weaver,,3:14,N,44630,0,--, @ LAD,Luke Weaver (R),Tony Gonsolin (R),L 235,O 8.5
144,Monday Sep 13,ARI,L,1,5,,47-97,5,47,Bickford,Gallen,,3:15,N,43273,0,-, @ LAD,Zac Gallen (R),Clayton Kershaw (L),L 254,U 8
143,Sunday Sep 12,ARI,W,5,4,,47-96,5,46,Gilbert,Misiewicz,Wendelken,3:03,D,13551,0,++, @ SEA,Tyler Gilbert (L),Yusei Kikuchi (L),W 151,O 8
142,Saturday Sep 11,ARI,W,7,3,,46-96,5,46,Castellanos,Flexen,,2:57,N,15483,0,+, @ SEA,Humberto Castellanos (R),Chris Flexen (R),W 157,O 8.5
141,Friday Sep 10,ARI,L,4,5,,45-96,5,46,Gonzales,Bumgarner,Steckenrider,2:38,N,14379,0,------, @ SEA,Madison Bumgarner (L),Marco Gonzales (L),L 137,O 8
140,Wednesday Sep 8,ARI,L,5,8,,45-95,5,45,Cotton,Weaver,Barlow,3:35,D,6354,0,-----, TEX,Luke Weaver (R),Kohei Arihara (R),L -149,O 9
139,Tuesday Sep 7,ARI,L,1,3,,45-94,5,44,Lyles,Gallen,,2:47,N,8758,0,----, TEX,Zac Gallen (R),Spencer Howard (R),L -175,U 8.5
138,Sunday Sep 5,ARI,L,4,10,11,45-93,5,42.5,Ramirez,Clarke,,3:49,D,14408,0,---, SEA,Tyler Gilbert (L),Chris Flexen (R),L 114,O 9
137,Saturday Sep 4,ARI,L,5,8,,45-92,5,41.5,Gonzales,Smith,Castillo,3:10,N,18819,0,--, SEA,Humberto Castellanos (R),Marco Gonzales (L),L 120,O 8.5
136,Friday Sep 3,ARI,L,5,6,10,45-91,5,41.5,Sheffield,Clarke,Ramirez,3:31,N,12729,0,-, SEA,Madison Bumgarner (L),Tyler Anderson (L),L -104,O 8.5
135,Wednesday Sep 1,ARI,W,8,3,,45-90,5,40.5,Weaver,Darvish,,3:16,D,5945,0,+, SD,Luke Weaver (R),Yu Darvish (R),W 193,O 9
134,Tuesday Aug 31,ARI,L,0,3,,44-90,5,41,Snell,Gallen,Melancon,3:05,N,10818,0,-----, SD,Zac Gallen (R),Blake Snell (L),L 153,U 8
133,Monday Aug 30,ARI,L,5,7,,44-89,5,41,Stammen,Gilbert,Melancon,3:35,N,8482,0,----, SD,Tyler Gilbert (L),Chris Paddack (R),L 160,O 9.5
132,Sunday Aug 29,ARI,L,4,7,,44-88,5,41,Suarez,Bumgarner,Kennedy,3:25,D,22237,0,---, @ PHI,Madison Bumgarner (L),Ranger Suarez (L),L 160,O 8.5
131,Saturday Aug 28,ARI,L,0,7,,44-87,5,41,Gibson,Mejia,,2:57,N,24692,0,--, @ PHI,Humberto Mejia (R),Kyle Gibson (R),L 177,U 8.5
130,Friday Aug 27,ARI,L-wo,6,7,11,44-86,5,40,De Los Santos,Clarke,,4:12,N,23181,0,-, @ PHI,Taylor Widener (R),Aaron Nola (R),L 231,O 8.5
129,Thursday Aug 26,ARI,W,8,7,,44-85,5,40,Gallen,Moore,Ramirez,3:54,N,20148,0,++, @ PHI,Zac Gallen (R),Matt Moore (L),W 129,O 9
128,Wednesday Aug 25,ARI,W,5,2,,43-85,5,40,de Geus,Banda,Clippard,3:18,N,8357,0,+, @ PIT,Tyler Gilbert (L),Bryse Wilson (R),W -109,U 9
127,Tuesday Aug 24,ARI,L,2,4,,42-85,5,40,Brubaker,Bumgarner,Stratton,2:46,N,8478,0,--, @ PIT,Madison Bumgarner (L),JT Brubaker (R),L -112,U 8.5
126,Monday Aug 23,ARI,L,5,6,,42-84,5,39,Banda,Ramirez,Bednar,3:40,N,8596,0,-, @ PIT,Humberto Mejia (R),Wil Crowe (R),L 105,O 9.5
125,Sunday Aug 22,ARI,W,8,4,,42-83,5,38.5,Widener,Gray,,3:50,D,24552,0,+, @ COL,Taylor Widener (R),Jon Gray (R),W 160,O 11.5
124,Saturday Aug 21,ARI,L-wo,2,5,,41-83,5,38.5,Bard,Wendelken,,3:04,N,32699,0,--, @ COL,Zac Gallen (R),Kyle Freeland (L),L 135,U 11.5
123,Friday Aug 20,ARI,L,4,9,,41-82,5,37.5,Stephenson,de Geus,,3:16,N,30243,0,-, @ COL,Tyler Gilbert (L),Austin Gomber (L),L 172,O 11.5
122,Thursday Aug 19,ARI,W,6,2,,41-81,5,37.5,Bumgarner,Wheeler,,2:48,D,7165,0,+++, PHI,Madison Bumgarner (L),Zack Wheeler (R),W 179,P 8
121,Wednesday Aug 18,ARI,W,4,2,,40-81,5,38,Castellanos,Suarez,Clippard,2:57,N,7968,0,++, PHI,Humberto Castellanos (R),Ranger Suarez (L),W 153,U 9.5
120,Tuesday Aug 17,ARI,W,3,2,,39-81,5,39,Aguilar,Gibson,Clippard,2:49,N,7796,0,+, PHI,Taylor Widener (R),Kyle Gibson (R),W 138,U 9
119,Sunday Aug 15,ARI,L,2,8,,38-81,5,38.5,Knehr,Gallen,,3:19,D,17722,0,-, SD,Zac Gallen (R),Craig Stammen (R),L 152,O 9
118,Saturday Aug 14,ARI,W,7,0,,38-80,5,37.5,Gilbert,Musgrove,,2:31,N,16716,0,+++, SD,Tyler Gilbert (L),Joe Musgrove (R),W 203,U 9
117,Friday Aug 13,ARI,W-wo,3,2,,37-80,5,38.5,Clippard,Stammen,,3:06,N,12866,0,++, SD,Madison Bumgarner (L),Blake Snell (L),W 162,U 8.5
116,Thursday Aug 12,ARI,W,12,3,,36-80,5,38.5,Smith,Darvish,,3:42,N,9086,0,+, SD,Matt Peacock (R),Yu Darvish (R),W 222,O 9
115,Wednesday Aug 11,ARI,L,2,7,,35-80,5,38.5,Gausman,Kelly,,3:14,N,20037,0,----, @ SF,Merrill Kelly (R),Kevin Gausman (R),L 250,O 8
114,Tuesday Aug 10,ARI,L-wo,7,8,,35-79,5,37.5,Littell,Peacock,,3:10,N,23802,0,---, @ SF,Zac Gallen (R),Alex Wood (L),L 210,O 8
113,Sunday Aug 8,ARI,L,0,2,,35-78,5,36.5,Snell,Bumgarner,Melancon,2:43,D,30989,0,--, @ SD,Madison Bumgarner (L),Blake Snell (L),L 195,U 8.5
112,Saturday Aug 7,ARI,L,2,6,,35-77,5,35.5,Pomeranz,de Geus,,3:18,N,39134,0,-, @ SD,Taylor Widener (R),Yu Darvish (R),L 275,U 8.5
111,Friday Aug 6,ARI,W,8,5,,35-76,5,34.5,Peacock,Weathers,Poppen,3:09,N,34038,0,+, @ SD,Caleb Smith (L),Ryan Weathers (L),W 197,O 9
110,Thursday Aug 5,ARI,L,4,5,10,34-76,5,35.5,Rogers,Gilbert,McGee,3:40,D,8773,0,--, SF,Merrill Kelly (R),Alex Wood (L),L 147,P 9
109,Wednesday Aug 4,ARI,L,1,7,,34-75,5,34.5,Gausman,Gallen,,3:31,N,8091,0,-, SF,Zac Gallen (R),Kevin Gausman (R),L 172,U 8.5
108,Tuesday Aug 3,ARI,W,3,1,,34-74,5,33.5,Bumgarner,Cueto,Clippard,3:10,N,8809,0,+, SF,Madison Bumgarner (L),Johnny Cueto (R),W 160,U 9.5
107,Monday Aug 2,ARI,L,8,11,10,33-74,5,34.5,Garcia,Aguilar,,4:04,N,8904,0,---, SF,Taylor Widener (R),Anthony DeSclafani (R),L 181,O 9.5
106,Sunday Aug 1,ARI,L,0,13,,33-73,5,33.5,Urias,Smith,,3:13,D,17195,0,--, LAD,Caleb Smith (L),Julio Urias (L),L 224,O 9
105,Saturday Jul 31,ARI,L,3,8,,33-72,5,32.5,Vesia,Kelly,,3:33,N,23814,0,-, LAD,Merrill Kelly (R),Mitch White (R),L 158,O 9.5
104,Friday Jul 30,ARI,W-wo,6,5,10,33-71,5,31.5,Peacock,Nelson,,4:33,N,20780,0,++, LAD,Zac Gallen (R),Tony Gonsolin (R),W 177,O 9.5
103,Wednesday Jul 28,ARI,W,3,2,,32-71,5,32,Bumgarner,Martin,Clippard,2:42,N,26607,0,+, @ TEX,Madison Bumgarner (L),Jordan Lyles (R),W 107,U 9
102,Tuesday Jul 27,ARI,L,4,5,,31-71,5,33,Dunning,Widener,Kennedy,3:08,N,27336,0,--, @ TEX,Taylor Widener (R),Dane Dunning (R),L 133,O 8.5
101,Sunday Jul 25,ARI,L,1,5,,31-70,5,32,Williams,Smith,Kimbrel,3:13,D,32602,0,-, @ CHC,Caleb Smith (L),Trevor Williams (R),L 172,U 9
100,Saturday Jul 24,ARI,W,7,3,,31-69,5,31,Kelly,Chafin,,3:15,D,37190,0,+, @ CHC,Merrill Kelly (R),Alec Mills (R),W 158,U 10.5
99,Friday Jul 23,ARI,L,3,8,,30-69,5,32,Davies,Gallen,Thompson,3:11,D,34059,0,-, @ CHC,Zac Gallen (R),Zach Davies (R),L 120,O 10
98,Wednesday Jul 21,ARI,W,6,4,,30-68,5,31.5,de Geus,Underwood,Soria,3:24,D,7863,0,++++, PIT,Madison Bumgarner (L),Max Kranick (R),W -125,O 9
97,Tuesday Jul 20,ARI,W,11,6,,29-68,5,31.5,Bukauskas,Davis,,3:11,N,7283,0,+++, PIT,Taylor Widener (R),Tyler Anderson (L),W -101,O 9
96,Monday Jul 19,ARI,W,4,2,,28-68,5,32.5,Smith,De Jong,Soria,3:25,N,9173,0,++, PIT,Caleb Smith (L),Chase De Jong (R),W -117,U 9.5
95,Sunday Jul 18,ARI,W,6,4,,27-68,5,32.5,Kelly,Winkler,Soria,3:09,D,21457,0,+, CHC,Merrill Kelly (R),Zach Davies (R),W -103,O 9
94,Saturday Jul 17,ARI,L,2,4,,26-68,5,33.5,Brothers,Soria,Kimbrel,3:15,D,20180,0,----, CHC,Zac Gallen (R),Adbert Alzolay (R),L 116,U 8.5
93,Friday Jul 16,ARI,L,1,5,,26-67,5,33.5,Hendricks,Bumgarner,,3:09,N,22046,0,---, CHC,Madison Bumgarner (L),Kyle Hendricks (R),L 139,U 9.5
92,Sunday Jul 11,ARI,L-wo,4,7,,26-66,5,32.5,Jansen,Bukauskas,,3:40,D,40464,0,--, @ LAD,Merrill Kelly (R),Tony Gonsolin (R),L 264,O 9
91,Saturday Jul 10,ARI,L,1,22,,26-65,5,31.5,Buehler,Smith,,3:19,N,44654,0,-, @ LAD,Caleb Smith (L),Walker Buehler (R),L 286,O 8
90,Friday Jul 9,ARI,W,5,2,,26-64,5,30.5,de Geus,NÃºÃ±ez,Soria,3:34,N,49215,0,+, @ LAD,Taylor Widener (R),David Price (L),W 248,U 9
89,Thursday Jul 8,ARI,L,3,9,,25-64,5,30.5,Gonzalez,Weems,,3:23,D,7740,0,-, COL,Jake Faria (R),Chi Chi Gonzalez (R),L -119,O 9.5
88,Wednesday Jul 7,ARI,W,6,4,,25-63,5,30,Peacock,Senzatela,Soria,3:02,N,7852,0,++, COL,Humberto Castellanos (R),Antonio Senzatela (R),W -106,O 9.5
87,Tuesday Jul 6,ARI,W-wo,4,3,,24-63,5,30,Soria,Bard,,3:17,N,6847,0,+, COL,Merrill Kelly (R),Jon Gray (R),W -130,U 8.5
86,Sunday Jul 4,ARI,L,2,5,,23-63,5,31.5,DeSclafani,Smith,Rogers,2:43,N,27032,0,---, SF,Caleb Smith (L),Anthony DeSclafani (R),L 166,U 9
