game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,ATL,L-wo,6,7,11,97-65,1,up 4.0,Mazza,Dayton,,3:44,D,31523,0.07,---, @ NYM,Mike Soroka (R),Noah Syndergaard (R),L 106,O 8
161,Saturday Sep 28,ATL,L,0,3,,97-64,1,up 5.0,Matz,Foltynewicz,Diaz,2:33,N,32210,0.05,--, @ NYM,Mike Foltynewicz (R),Steven Matz (L),L -103,U 9
160,Friday Sep 27,ATL,L,2,4,,97-63,1,up 6.0,Stroman,Keuchel,Lugo,3:09,N,26264,0.06,-, @ NYM,Dallas Keuchel (L),Marcus Stroman (R),L 104,U 8
159,Wednesday Sep 25,ATL,W,10,2,,97-62,1,up 7.5,Jackson,Barnes,,3:31,N,16931,0.06,+, @ KC,Josh Tomlin (R),Mike Montgomery (L),W -131,O 9.5
158,Tuesday Sep 24,ATL,L,6,9,,96-62,1,up 7.5,Duffy,Teheran,,3:28,N,16688,0.07,--, @ KC,Julio Teheran (R),Danny Duffy (L),L -158,O 9.5
157,Sunday Sep 22,ATL,L,1,4,,96-61,1,up 9.5,Webb,Keuchel,Smith,3:07,D,33674,0.08,-, SF,Dallas Keuchel (L),Logan Webb (R),L -206,U 9
156,Saturday Sep 21,ATL,W,8,1,,96-60,1,up 9.5,Fried,Cueto,,2:35,N,40899,0.06,+++, SF,Max Fried (L),Johnny Cueto (R),W -146,O 7.5
155,Friday Sep 20,ATL,W,6,0,,95-60,1,up 9.5,Foltynewicz,Beede,,2:21,N,37419,0.08,++, SF,Mike Foltynewicz (R),Tyler Beede (R),W -202,U 9.5
154,Thursday Sep 19,ATL,W,5,4,,94-60,1,up 9.5,Soroka,Nola,Melancon,3:10,D,33223,0.07,+, PHI,Mike Soroka (R),Aaron Nola (R),W -140,O 8
153,Wednesday Sep 18,ATL,L,1,4,,93-60,1,up 9.0,Eflin,Teheran,Neris,2:59,N,27937,0.06,---, PHI,Julio Teheran (R),Zach Eflin (R),L -155,U 10.5
152,Tuesday Sep 17,ATL,L,4,5,,93-59,1,up 9.0,Velasquez,Keuchel,Neris,3:26,N,28843,0.07,--, PHI,Dallas Keuchel (L),Vince Velasquez (R),L -189,U 10
151,Sunday Sep 15,ATL,L,0,7,,93-58,1,up 9.5,Sanchez,Fried,,3:03,D,29350,0.1,-, @ WAS,Max Fried (L),Anibal Sanchez (R),L -118,U 10.5
150,Saturday Sep 14,ATL,W,10,1,,93-57,1,up10.5,Foltynewicz,Suero,,3:29,D,39664,0.09,++, @ WAS,Mike Foltynewicz (R),Austin Voth (R),W -100,O 10.5
149,Friday Sep 13,ATL,W,5,0,,92-57,1,up 9.5,Soroka,Scherzer,,3:16,N,39730,0.13,+, @ WAS,Mike Soroka (R),Max Scherzer (R),W 141,U 8.5
148,Thursday Sep 12,ATL,L,5,9,,91-57,1,up 8.5,Hughes,Teheran,Neris,3:35,N,27022,0.12,-, @ PHI,Julio Teheran (R),Drew Smyly (L),L -121,O 9.5
147,Wednesday Sep 11,ATL,W,3,1,,91-56,1,up 9.5,Keuchel,Eflin,Melancon,3:31,N,23243,0.08,+, @ PHI,Dallas Keuchel (L),Zach Eflin (R),W -143,U 10
146,Tuesday Sep 10,ATL,L,5,6,,90-56,1,up 9.5,Parker,Fried,Neris,3:06,N,24220,0.1,-, @ PHI,Max Fried (L),Jason Vargas (L),L -176,O 10.5
145,Monday Sep 9,ATL,W,7,2,,90-55,1,up 9.5,Foltynewicz,Nola,,2:47,N,25071,0.11,+, @ PHI,Mike Foltynewicz (R),Aaron Nola (R),W 125,P 9
144,Sunday Sep 8,ATL,L,4,9,,89-55,1,up 9.0,Scherzer,Soroka,,3:16,D,31789,0.15,-, WAS,Mike Soroka (R),Max Scherzer (R),L 114,O 8.5
