game,date,result and moneyline
162,Sunday Oct 3,L 312
161,Saturday Oct 2,L 250
160,Friday Oct 1,L 329
159,Thursday Sep 30,W 199
158,Wednesday Sep 29,L 235
157,Tuesday Sep 28,W 239
156,Sunday Sep 26,L -121
155,Saturday Sep 25,W -101
154,Friday Sep 24,L -105
153,Thursday Sep 23,W 113
152,Wednesday Sep 22,L 301
151,Tuesday Sep 21,L 190
150,Monday Sep 20,W 180
149,Sunday Sep 19,L 283
148,Saturday Sep 18,L 248
147,Friday Sep 17,L 296
146,Thursday Sep 16,W 198
145,Wednesday Sep 15,L 137
144,Tuesday Sep 14,L 288
143,Sunday Sep 12,L 193
142,Saturday Sep 11 (2),L 170
141,Saturday Sep 11 (1),L 221
140,Friday Sep 10,W 258
139,Thursday Sep 9,L -112
138,Wednesday Sep 8,W 114
137,Tuesday Sep 7,W 109
136,Monday Sep 6,L 106
135,Sunday Sep 5,W 283
134,Saturday Sep 4,W 294
133,Friday Sep 3,L 228
132,Wednesday Sep 1,L 216
131,Tuesday Aug 31,W 268
130,Monday Aug 30,L 291
129,Sunday Aug 29,L 214
128,Saturday Aug 28,L 139
127,Friday Aug 27,L 203
126,Thursday Aug 26,W -104
125,Wednesday Aug 25,W 190
124,Tuesday Aug 24,L 115
123,Sunday Aug 22,L 150
122,Saturday Aug 21,L 156
121,Friday Aug 20,L 218
120,Thursday Aug 19,L 304
119,Wednesday Aug 18,L 281
118,Tuesday Aug 17,L 225
117,Monday Aug 16,L 226
116,Sunday Aug 15,L 256
115,Saturday Aug 14,L 279
114,Friday Aug 13,L 230
113,Thursday Aug 12,L -147
112,Wednesday Aug 11,L 101
111,Tuesday Aug 10,L 117
110,Sunday Aug 8,L 165
109,Saturday Aug 7,L 194
108,Friday Aug 6,L 135
107,Wednesday Aug 4,L 239
106,Tuesday Aug 3,L 226
105,Monday Aug 2,W 259
104,Sunday Aug 1,L 131
103,Saturday Jul 31,W 101
102,Friday Jul 30,W 139
101,Thursday Jul 29,L 136
100,Wednesday Jul 28,W -128
99,Tuesday Jul 27,L 114
98,Sunday Jul 25,W 103
97,Saturday Jul 24,W 118
96,Friday Jul 23,W 117
95,Wednesday Jul 21,L 197
94,Tuesday Jul 20,L 179
93,Monday Jul 19,W 247
92,Sunday Jul 18,W 135
91,Saturday Jul 17,W 146
90,Friday Jul 16,L 140
89,Sunday Jul 11,L 158
88,Saturday Jul 10,L 186
87,Friday Jul 9,L 120
86,Wednesday Jul 7,L 170
85,Tuesday Jul 6,W 174
84,Sunday Jul 4,L 208
83,Saturday Jul 3,L 185
82,Friday Jul 2,L 165
81,Wednesday Jun 30,W 257
80,Tuesday Jun 29,W 255
79,Monday Jun 28,W 312
78,Sunday Jun 27,L 214
77,Saturday Jun 26,L 231
76,Friday Jun 25,W 230
75,Thursday Jun 24,L 170
74,Wednesday Jun 23,L 193
73,Tuesday Jun 22,L 171
72,Monday Jun 21,L 152
71,Sunday Jun 20,L 160
70,Saturday Jun 19,L 144
69,Friday Jun 18,W 183
68,Thursday Jun 17,L 104
67,Wednesday Jun 16,L 140
66,Tuesday Jun 15,L 159
65,Monday Jun 14,L 144
64,Sunday Jun 13,L 157
63,Saturday Jun 12,L 193
62,Friday Jun 11,L 157
61,Wednesday Jun 9,L 119
60,Tuesday Jun 8,W 102
59,Sunday Jun 6,W 105
58,Saturday Jun 5,L -124
57,Friday Jun 4,W -101
56,Wednesday Jun 2,W 116
55,Tuesday Jun 1,W 148
54,Monday May 31,L 137
53,Sunday May 30,L 181
52,Saturday May 29 (2),L 150
51,Saturday May 29 (1),L 186
50,Thursday May 27,L 196
49,Wednesday May 26,L 164
48,Tuesday May 25,L 168
47,Monday May 24,L -110
46,Sunday May 23,L 166
45,Saturday May 22,L 140
44,Friday May 21,L 174
43,Thursday May 20,L 139
42,Wednesday May 19,L -105
41,Tuesday May 18,L 143
40,Sunday May 16,W 144
39,Saturday May 15,L 148
38,Friday May 14,L 149
37,Wednesday May 12,L 163
36,Tuesday May 11,L 141
35,Monday May 10,W 122
34,Sunday May 9,L 120
33,Saturday May 8,L 125
32,Friday May 7,L 136
31,Wednesday May 5,W 102
30,Tuesday May 4,L 109
29,Monday May 3,W 113
28,Sunday May 2,L 179
27,Saturday May 1,W 163
26,Friday Apr 30,W 119
25,Thursday Apr 29,W 165
24,Wednesday Apr 28,L 135
23,Tuesday Apr 27,L 160
22,Monday Apr 26,W 146
21,Sunday Apr 25,W 112
20,Saturday Apr 24,L 143
19,Friday Apr 23,L 116
18,Wednesday Apr 21,L 141
17,Tuesday Apr 20,W 105
16,Sunday Apr 18,L -103
15,Saturday Apr 17,W 121
14,Friday Apr 16,W 115
13,Thursday Apr 15 (2),L -135
12,Thursday Apr 15 (1),L -103
11,Tuesday Apr 13 (2),W -125
10,Tuesday Apr 13 (1),L -133
9,Sunday Apr 11,L 129
8,Saturday Apr 10,L 119
7,Thursday Apr 8,L 143
6,Wednesday Apr 7,W 175
5,Tuesday Apr 6,L 268
4,Monday Apr 5,L 205
3,Sunday Apr 4,W 149
2,Saturday Apr 3,W 154
1,Friday Apr 2,W 156
