game,date,result and moneyline
162,Sunday Oct 3,W -206
161,Saturday Oct 2,W -153
160,Friday Oct 1,W -200
159,Thursday Sep 30,L -219
158,Wednesday Sep 29,W -263
157,Tuesday Sep 28,L -268
156,Sunday Sep 26,L -109
155,Saturday Sep 25,L -105
154,Friday Sep 24,L 108
153,Wednesday Sep 22,W -178
152,Tuesday Sep 21,W -130
151,Sunday Sep 19,W -322
150,Saturday Sep 18,W -279
149,Friday Sep 17,W -338
148,Wednesday Sep 15,W -131
147,Tuesday Sep 14,W -138
146,Monday Sep 13,L -123
145,Sunday Sep 12,L 150
144,Saturday Sep 11,W 156
143,Friday Sep 10,L 136
142,Wednesday Sep 8,W -110
141,Tuesday Sep 7,L -113
140,Monday Sep 6,L -140
139,Sunday Sep 5,L -132
138,Saturday Sep 4,W -191
137,Friday Sep 3,W -167
136,Thursday Sep 2,W 147
135,Wednesday Sep 1,W 106
134,Tuesday Aug 31,L 148
133,Monday Aug 30,L 132
132,Sunday Aug 29,L -152
131,Saturday Aug 28,W -131
130,Friday Aug 27,W -164
129,Thursday Aug 26,W -261
128,Wednesday Aug 25,L -159
127,Tuesday Aug 24,W -219
126,Monday Aug 23,W -290
125,Saturday Aug 21,L -334
124,Friday Aug 20,W -287
123,Wednesday Aug 18,L 110
122,Tuesday Aug 17 (2),L -105
121,Tuesday Aug 17 (1),L 104
120,Sunday Aug 15,W -289
119,Saturday Aug 14,W -316
118,Friday Aug 13,W -257
117,Thursday Aug 12,L -116
116,Wednesday Aug 11,W -117
115,Tuesday Aug 10,L -120
114,Sunday Aug 8,L 169
113,Saturday Aug 7 (2),W 138
112,Saturday Aug 7 (1),L 173
111,Friday Aug 6,L 125
110,Thursday Aug 5,L -117
109,Wednesday Aug 4,W -152
108,Tuesday Aug 3,L -144
107,Sunday Aug 1,L 142
106,Saturday Jul 31,L 100
105,Friday Jul 30,L 130
104,Thursday Jul 29,L -119
103,Wednesday Jul 28 (2),W -123
102,Wednesday Jul 28 (1),L 137
101,Monday Jul 26,W -135
100,Sunday Jul 25,W -133
99,Saturday Jul 24,L -167
98,Friday Jul 23,W -111
97,Thursday Jul 22,W -150
96,Wednesday Jul 21,W 178
95,Monday Jul 19,W 115
94,Sunday Jul 18,L 107
93,Saturday Jul 17,L 123
92,Friday Jul 16,W -111
91,Sunday Jul 11,L -190
90,Saturday Jul 10,L -154
89,Friday Jul 9,W -130
88,Wednesday Jul 7,L -125
87,Tuesday Jul 6,L -109
86,Monday Jul 5,W -126
85,Sunday Jul 4,W 101
84,Saturday Jul 3,L 124
83,Friday Jul 2,W -110
82,Thursday Jul 1,W -235
81,Wednesday Jun 30,W -137
80,Tuesday Jun 29,W -219
79,Monday Jun 28,W -150
78,Sunday Jun 27,W 135
77,Saturday Jun 26,W -112
76,Friday Jun 25,W 116
75,Thursday Jun 24,L 102
74,Wednesday Jun 23,L 134
73,Tuesday Jun 22,W 103
72,Sunday Jun 20,L -133
71,Saturday Jun 19,W -116
70,Friday Jun 18,L -151
69,Wednesday Jun 16,W 137
68,Tuesday Jun 15,W 102
67,Monday Jun 14,W -131
66,Sunday Jun 13,L 114
65,Saturday Jun 12,L -116
64,Friday Jun 11,W -111
63,Thursday Jun 10,W -105
62,Wednesday Jun 9,L -133
61,Tuesday Jun 8,L 118
60,Monday Jun 7,W -196
59,Sunday Jun 6,W 136
58,Saturday Jun 5,W 128
57,Friday Jun 4,W -106
56,Thursday Jun 3,W 106
55,Wednesday Jun 2,L 132
54,Tuesday Jun 1,L 148
53,Monday May 31,L -107
52,Saturday May 29,W -158
51,Friday May 28,W -159
50,Wednesday May 26,W -141
49,Tuesday May 25,L -103
48,Sunday May 23,L 115
47,Saturday May 22,W -129
46,Friday May 21,W 136
45,Thursday May 20,W 113
44,Wednesday May 19,W 105
43,Tuesday May 18,L 114
42,Sunday May 16,L -153
41,Saturday May 15,W 104
40,Friday May 14,W -108
39,Thursday May 13,W -108
38,Wednesday May 12,L -145
37,Tuesday May 11,L -121
36,Monday May 10,L -132
35,Sunday May 9,W -130
34,Saturday May 8,W -136
33,Friday May 7,W -148
32,Thursday May 6,W -186
31,Wednesday May 5,L -178
30,Tuesday May 4,W -160
29,Sunday May 2,L -119
28,Saturday May 1,L -178
27,Friday Apr 30,W -161
26,Thursday Apr 29,L -107
25,Wednesday Apr 28,W 241
24,Tuesday Apr 27,W 132
23,Sunday Apr 25,W -184
22,Saturday Apr 24,L -194
21,Friday Apr 23,W -137
20,Thursday Apr 22,L -173
19,Wednesday Apr 21,L -122
18,Tuesday Apr 20,W -102
17,Monday Apr 19,W 104
16,Sunday Apr 18 (2),L -105
15,Sunday Apr 18 (1),L -104
14,Saturday Apr 17,W -127
13,Thursday Apr 15,L 126
12,Wednesday Apr 14 (2),W 135
11,Wednesday Apr 14 (1),W 113
10,Tuesday Apr 13,W 109
9,Sunday Apr 11,W -140
8,Saturday Apr 10,W -129
7,Thursday Apr 8,W -155
6,Wednesday Apr 7,W -110
5,Tuesday Apr 6,W 149
4,Monday Apr 5,W -105
3,Sunday Apr 4,L -163
2,Saturday Apr 3,L -168
1,Friday Apr 2,L -171
