game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,CHC,L,0,9,,84-78,3,7,Flaherty,Holland,,2:30,D,47212,0,-, @ STL,Derek Holland (L),Jack Flaherty (R),L 253,O 8.5
161,Saturday Sep 28,CHC,W,8,6,,84-77,3,6,Cishek,Wainwright,Kintzler,3:46,N,46971,0,++, @ STL,Cole Hamels (L),Adam Wainwright (R),W 175,O 8.5
160,Friday Sep 27,CHC,W,8,2,,83-77,3,7,Wieck,Miller,,4:04,N,46530,0,+, @ STL,Alec Mills (R),Dakota Hudson (R),W 194,O 8.5
159,Thursday Sep 26,CHC,L,5,9,,82-77,3,8,Musgrove,Quintana,,3:15,N,10529,0,---------, @ PIT,Jose Quintana (L),Joe Musgrove (R),L -101,O 7.5
158,Wednesday Sep 25,CHC,L,2,4,,82-76,3,7.5,Feliz,Wieck,Kela,2:54,N,10592,0.01,--------, @ PIT,Jon Lester (L),Dario Agrazal (R),L -200,U 9.5
157,Tuesday Sep 24,CHC,L,2,9,,82-75,3,7.5,Liriano,Hendricks,,3:10,N,9989,0.2,-------, @ PIT,Kyle Hendricks (R),Mitch Keller (R),L -186,O 8.5
156,Sunday Sep 22,CHC,L,2,3,,82-74,3,7,Webb,Darvish,Miller,3:03,D,38606,0.68,------, STL,Yu Darvish (R),Miles Mikolas (R),L -171,U 12
155,Saturday Sep 21,CHC,L,8,9,,82-73,3,6,Gant,Kimbrel,Martinez,4:24,D,40071,1.64,-----, STL,Jose Quintana (L),Dakota Hudson (R),L -130,O 11.5
154,Friday Sep 20,CHC,L,1,2,,82-72,3,5,Helsley,Phelps,Martinez,3:55,D,39106,2.78,----, STL,Alec Mills (R),Michael Wacha (R),L -129,U 10
153,Thursday Sep 19,CHC,L,4,5,10,82-71,3,4,Miller,Kimbrel,Gallegos,3:40,N,39524,3.53,---, STL,Kyle Hendricks (R),Jack Flaherty (R),L -107,O 7.5
152,Wednesday Sep 18,CHC,L,2,3,10,82-70,2,3,Garrett,Norwood,Iglesias,3:40,N,36578,2.88,--, CIN,Jon Lester (L),Tyler Mahle (R),L -161,U 9.5
151,Tuesday Sep 17,CHC,L,2,4,,82-69,2,2,Gray,Darvish,Iglesias,3:08,N,34267,2.63,-, CIN,Yu Darvish (R),Sonny Gray (R),L -157,U 7.5
150,Monday Sep 16,CHC,W,8,2,,82-68,2,2,Mills,Gausman,,3:27,N,33753,2.56,+++++, CIN,Cole Hamels (L),Kevin Gausman (R),W -171,O 8.5
