game,date,result and moneyline
162,Sunday Oct 3,L -248
161,Saturday Oct 2,W -269
160,Friday Oct 1,W -262
159,Wednesday Sep 29,W -184
158,Tuesday Sep 28,W -179
157,Monday Sep 27,W -145
156,Sunday Sep 26,W -141
155,Saturday Sep 25,L -181
154,Friday Sep 24,W -110
153,Thursday Sep 23 (2),L -117
152,Thursday Sep 23 (1),W -131
151,Tuesday Sep 21,L -159
150,Monday Sep 20,L -220
149,Sunday Sep 19,W -200
148,Saturday Sep 18,L -235
147,Friday Sep 17,W -182
146,Thursday Sep 16,L -169
145,Wednesday Sep 15,L -206
144,Tuesday Sep 14,W -268
143,Sunday Sep 12,W -164
142,Saturday Sep 11,L -170
141,Friday Sep 10,W -148
140,Thursday Sep 9,L 127
139,Wednesday Sep 8,L 140
138,Tuesday Sep 7,W 117
137,Sunday Sep 5,L -140
136,Saturday Sep 4,W -151
135,Friday Sep 3,L -118
134,Wednesday Sep 1,W -394
133,Tuesday Aug 31,W -343
132,Sunday Aug 29,W -255
131,Saturday Aug 28,L -306
130,Friday Aug 27,W -209
129,Thursday Aug 26,W -106
128,Wednesday Aug 25,L 104
127,Tuesday Aug 24,W 117
126,Monday Aug 23,L 107
125,Sunday Aug 22,L 111
124,Saturday Aug 21,L 130
123,Friday Aug 20,W -113
122,Thursday Aug 19,L -149
121,Wednesday Aug 18,W -201
120,Tuesday Aug 17,W 102
119,Monday Aug 16,W 109
118,Sunday Aug 15,L -174
117,Saturday Aug 14,L -135
116,Thursday Aug 12,W -163
115,Wednesday Aug 11,L -140
114,Tuesday Aug 10,L -143
113,Monday Aug 9,W -211
112,Sunday Aug 8,W -179
111,Saturday Aug 7,W -190
110,Friday Aug 6,W -204
109,Thursday Aug 5,L -194
108,Wednesday Aug 4,L -276
107,Tuesday Aug 3,W -233
106,Sunday Aug 1,W -166
105,Saturday Jul 31,L -153
104,Friday Jul 30,W -229
103,Thursday Jul 29,L -176
102,Wednesday Jul 28,L -177
101,Tuesday Jul 27,W -152
100,Monday Jul 26,L -118
99,Sunday Jul 25,W 146
98,Saturday Jul 24,L 122
97,Friday Jul 23,L 117
96,Wednesday Jul 21,L -148
95,Tuesday Jul 20,W -137
94,Monday Jul 19 (2),W 106
93,Monday Jul 19 (1),L -220
92,Sunday Jul 18,W -133
91,Saturday Jul 17,W -109
90,Friday Jul 16,L 113
89,Sunday Jul 11,W -173
88,Saturday Jul 10,W -205
87,Friday Jul 9,W -130
86,Wednesday Jul 7,W -105
85,Tuesday Jul 6,W -119
84,Monday Jul 5,L -123
83,Sunday Jul 4,L -180
82,Saturday Jul 3,L -102
81,Friday Jul 2,W -143
80,Thursday Jul 1,W -144
79,Wednesday Jun 30,W -121
78,Tuesday Jun 29,W -126
77,Sunday Jun 27,W -184
76,Saturday Jun 26,L -182
75,Friday Jun 25,L -188
74,Wednesday Jun 23,W -154
73,Tuesday Jun 22,L -167
72,Sunday Jun 20,L 124
71,Saturday Jun 19,L 110
70,Friday Jun 18,L -106
69,Thursday Jun 17,L 117
68,Wednesday Jun 16,W -129
67,Tuesday Jun 15,W -110
66,Monday Jun 14,L 113
65,Sunday Jun 13,W -213
64,Saturday Jun 12,W -175
63,Friday Jun 11,W -145
62,Thursday Jun 10,W 106
61,Wednesday Jun 9,L -148
60,Tuesday Jun 8,W -145
59,Sunday Jun 6,W -199
58,Saturday Jun 5,L -222
57,Friday Jun 4,W -149
56,Thursday Jun 3,W -215
55,Tuesday Jun 1,L 143
54,Monday May 31 (2),L -103
53,Monday May 31 (1),W -162
52,Sunday May 30,W -200
51,Saturday May 29 (2),W -164
50,Saturday May 29 (1),W -205
49,Thursday May 27,W -216
48,Wednesday May 26,L -218
47,Tuesday May 25,W -127
46,Monday May 24,W -176
45,Sunday May 23,L 137
44,Saturday May 22,L 181
43,Friday May 21,L 105
42,Wednesday May 19,W -119
41,Tuesday May 18,L -145
40,Monday May 17,W 103
39,Sunday May 16,W -172
38,Saturday May 15,L -189
37,Friday May 14 (2),W -162
36,Friday May 14 (1),L -181
35,Thursday May 13,W -123
34,Wednesday May 12,W -125
33,Tuesday May 11,W -110
32,Sunday May 9,W -137
31,Saturday May 8,W -165
30,Friday May 7,W -142
29,Wednesday May 5,L 120
28,Tuesday May 4,W -102
27,Sunday May 2,L -155
26,Saturday May 1,W -171
25,Friday Apr 30,L 127
24,Thursday Apr 29 (2),W -151
23,Thursday Apr 29 (1),W -202
22,Tuesday Apr 27,L -232
21,Sunday Apr 25,W -172
20,Saturday Apr 24,W -163
19,Friday Apr 23,W -140
18,Tuesday Apr 20,W -107
17,Monday Apr 19,L -112
16,Sunday Apr 18 (2),W -103
15,Sunday Apr 18 (1),W -104
14,Saturday Apr 17,L 117
13,Thursday Apr 15,L -158
12,Wednesday Apr 14,W -109
11,Tuesday Apr 13,L -109
10,Monday Apr 12,W -123
9,Sunday Apr 11,L -111
8,Thursday Apr 8,W -178
7,Wednesday Apr 7,L -143
6,Tuesday Apr 6,W -145
5,Monday Apr 5,W -126
4,Sunday Apr 4,L 113
3,Saturday Apr 3,L -113
2,Friday Apr 2,W 106
1,Thursday Apr 1,L -114
