game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,CIN,W,3,1,,75-87,4,16,Mahle,Williams,Lorenzen,2:43,D,23617,0,++, @ PIT,Tyler Mahle (R),Trevor Williams (R),W -114,U 8.5
161,Saturday Sep 28,CIN,W,4,2,12,74-87,4,16,Alaniz,McRae,,4:27,N,21084,0,+, @ PIT,Lucas Sims (R),James Marvel (R),W -140,U 9
160,Friday Sep 27,CIN,L-wo,5,6,,73-87,4,17,Rios,Iglesias,,3:13,N,18544,0,-----, @ PIT,Anthony DeSclafani (R),Steven Brault (L),L -149,O 8.5
159,Thursday Sep 26,CIN,L,3,5,,73-86,4,17,Anderson,Castillo,Hader,2:50,D,27774,0,----, MIL,Luis Castillo (R),Chase Anderson (R),L -115,P 8
158,Wednesday Sep 25,CIN,L,2,9,,73-85,4,16.5,Lyles,Mahle,,3:01,N,16530,0,---, MIL,Tyler Mahle (R),Jordan Lyles (R),L 129,O 9
157,Tuesday Sep 24,CIN,L,2,4,,73-84,4,16.5,Suter,Gray,Hader,2:52,N,14778,0,--, MIL,Sonny Gray (R),Adrian Houser (R),L -110,U 8
156,Sunday Sep 22,CIN,L,3,6,,73-83,4,16,Brach,Bauer,Wilson,3:08,D,21335,0,-, NYM,Trevor Bauer (R),Marcus Stroman (R),L 133,P 9
155,Saturday Sep 21,CIN,W,3,2,,73-82,4,15,Kuhnel,Wilson,Iglesias,2:48,D,30487,0,+, NYM,Anthony DeSclafani (R),Zack Wheeler (R),W 134,U 9.5
154,Friday Sep 20,CIN,L,1,8,,72-82,4,15,deGrom,Castillo,,3:06,N,20576,0,-, NYM,Luis Castillo (R),Jacob deGrom (R),L 165,O 8
153,Wednesday Sep 18,CIN,W,3,2,10,72-81,4,13.5,Garrett,Norwood,Iglesias,3:40,N,36578,0,++, @ CHC,Tyler Mahle (R),Jon Lester (L),W 149,U 9.5
152,Tuesday Sep 17,CIN,W,4,2,,71-81,4,13.5,Gray,Darvish,Iglesias,3:08,N,34267,0,+, @ CHC,Sonny Gray (R),Yu Darvish (R),W 144,U 7.5
151,Monday Sep 16,CIN,L,2,8,,70-81,4,14.5,Mills,Gausman,,3:27,N,33753,0,-, @ CHC,Kevin Gausman (R),Cole Hamels (L),L 157,O 8.5
150,Sunday Sep 15,CIN,W,3,1,,70-80,4,13.5,Bauer,Gallen,Iglesias,2:55,D,25193,0,+, @ ARI,Trevor Bauer (R),Zac Gallen (R),W 149,U 8.5
149,Saturday Sep 14,CIN,L,0,1,,69-80,4,14.5,Kelly,DeSclafani,Bradley,2:15,N,35151,0,-, @ ARI,Anthony DeSclafani (R),Merrill Kelly (R),L 117,U 9
148,Friday Sep 13,CIN,W,4,3,,69-79,4,14.5,Castillo,Leake,Iglesias,2:48,N,35158,0,++, @ ARI,Luis Castillo (R),Mike Leake (R),W -112,U 8.5
147,Thursday Sep 12,CIN,W,11,5,,68-79,4,14.5,Romano,Altavilla,,3:21,N,15564,0,+, @ SEA,Tyler Mahle (R),Justin Dunn (R),W -121,O 9
146,Wednesday Sep 11,CIN,L,3,5,,67-79,4,14.5,Gonzales,Gray,Bass,2:58,N,10152,0,--, @ SEA,Sonny Gray (R),Marco Gonzales (L),L -152,P 8
145,Tuesday Sep 10,CIN,L,3,4,,67-78,4,14.5,Altavilla,Garrett,Bass,2:49,N,12230,0,-, @ SEA,Trevor Bauer (R),Justus Sheffield (L),L -119,U 9
144,Sunday Sep 8,CIN,W-wo,4,3,,67-77,4,14.5,Iglesias,LÃ³pez,,3:12,D,19717,0,+, ARI,Anthony DeSclafani (R),Mike Leake (R),W -122,U 9.5
143,Saturday Sep 7,CIN,L,0,2,,66-77,4,14.5,Young,Castillo,Sherfy,2:39,D,34804,0,--, ARI,Luis Castillo (R),Alex Young (L),L -147,U 8.5
142,Friday Sep 6,CIN,L,5,7,,66-76,4,13.5,Ginkel,Mahle,Bradley,4:10,N,19048,0,-, ARI,Tyler Mahle (R),Robbie Ray (L),L 107,O 9
141,Thursday Sep 5,CIN,W-wo,4,3,11,66-75,4,13.5,Bowman,Vincent,,3:36,D,13230,0,++, PHI,Sonny Gray (R),Jason Vargas (L),W -143,U 9
140,Wednesday Sep 4,CIN,W,8,5,,65-75,4,13.5,Lorenzen,Alvarez,Iglesias,3:02,N,13448,0,+, PHI,Trevor Bauer (R),Aaron Nola (R),W 142,O 9
139,Tuesday Sep 3,CIN,L,2,6,,64-75,4,14.5,Vincent,Garrett,,3:16,N,11452,0,--, PHI,Lucas Sims (R),Vince Velasquez (R),L 104,U 10
138,Monday Sep 2,CIN,L,1,7,,64-74,4,13.5,Smyly,DeSclafani,,2:40,D,19631,0.01,-, PHI,Anthony DeSclafani (R),Drew Smyly (L),L -135,U 10
137,Sunday Sep 1 (2),CIN,W,5,3,,64-73,4,12.5,Castillo,Ponce de Leon,Iglesias,3:04,N,38665,0.01,+, @ STL,Luis Castillo (R),Daniel Ponce de Leon (R),W -107,O 7.5
136,Sunday Sep 1 (1),CIN,L-wo,3,4,,63-73,4,12.5,Martinez,Lorenzen,,2:58,D,43692,0.01,----, @ STL,Tyler Mahle (R),Miles Mikolas (R),L 146,U 8
135,Saturday Aug 31 (2),CIN,L-wo,2,3,,63-72,4,12.5,Gant,Iglesias,,2:53,N,42074,0.02,---, @ STL,Sonny Gray (R),Michael Wacha (R),L -113,U 8
134,Saturday Aug 31 (1),CIN,L,6,10,,63-71,4,12.5,Hudson,Bauer,,3:10,D,44738,0.03,--, @ STL,Trevor Bauer (R),Dakota Hudson (R),L 124,O 8.5
133,Thursday Aug 29,CIN,L-wo,3,4,12,63-70,4,10.5,Kinley,Iglesias,,3:35,N,6466,0.05,-, @ MIA,Alex Wood (L),Robert Dugger (R),L -160,U 9
132,Wednesday Aug 28,CIN,W,5,0,,63-69,4,10,DeSclafani,Alcantara,,2:41,N,6409,0.05,+++, @ MIA,Anthony DeSclafani (R),Sandy Alcantara (R),W -151,U 8
131,Tuesday Aug 27,CIN,W,8,5,,62-69,4,11,Castillo,Smith,Iglesias,3:24,N,6169,0.04,++, @ MIA,Luis Castillo (R),Caleb Smith (L),W -161,O 7
130,Monday Aug 26,CIN,W,6,3,,61-69,4,11,Gray,Lopez,,3:03,N,5297,0.02,+, @ MIA,Sonny Gray (R),Pablo Lopez (R),W -157,O 7.5
129,Sunday Aug 25,CIN,L,8,9,,60-69,4,11,Agrazal,Bauer,Vazquez,3:25,D,22349,0.03,---, @ PIT,Trevor Bauer (R),Dario Agrazal (R),L -132,O 8.5
128,Saturday Aug 24,CIN,L,0,14,,60-68,4,10,Williams,Wood,,2:45,N,26776,0.06,--, @ PIT,Alex Wood (L),Trevor Williams (R),L -105,O 9
127,Friday Aug 23,CIN,L-wo,2,3,,60-67,4,9,Vazquez,Iglesias,,2:53,N,20091,0.09,-, @ PIT,Anthony DeSclafani (R),Mitch Keller (R),L 102,U 8.5
126,Wednesday Aug 21,CIN,W,4,2,,60-66,4,8,Castillo,Yardley,Iglesias,2:52,D,13397,0.09,++, SD,Luis Castillo (R),Matt Strahm (L),W -164,U 8.5
125,Tuesday Aug 20,CIN,W,3,2,,59-66,4,8.5,Gray,Quantrill,Iglesias,2:56,N,12468,0.08,+, SD,Sonny Gray (R),Cal Quantrill (R),W -155,U 8.5
124,Monday Aug 19,CIN,L,2,3,,58-66,4,8.5,Perdomo,Bauer,Yates,3:00,N,10176,0.13,--, SD,Trevor Bauer (R),Eric Lauer (L),L -136,U 9.5
123,Sunday Aug 18,CIN,L,4,5,,58-65,4,7.5,Flaherty,Wood,Martinez,3:03,D,21525,0.24,-, STL,Alex Wood (L),Jack Flaherty (R),L 160,P 9
122,Saturday Aug 17,CIN,W,6,1,,58-64,4,6.5,DeSclafani,Mikolas,,2:59,N,37698,0.21,+, STL,Anthony DeSclafani (R),Miles Mikolas (R),W 119,U 9.5
121,Friday Aug 16,CIN,L,4,13,,57-64,4,7.5,Wainwright,Castillo,,3:03,N,24118,0.29,-, STL,Luis Castillo (R),Adam Wainwright (R),L -133,O 8.5
120,Thursday Aug 15,CIN,W,2,1,,57-63,4,6.5,Gray,Wacha,Iglesias,3:01,N,14891,0.22,+, STL,Sonny Gray (R),Michael Wacha (R),W -140,U 9.5
119,Wednesday Aug 14,CIN,L,7,17,,56-63,4,7.5,Strasburg,Bauer,Guerra,3:38,D,23596,0.28,----, @ WAS,Trevor Bauer (R),Stephen Strasburg (R),L 159,O 9
118,Tuesday Aug 13,CIN,L,1,3,,56-62,4,7.5,Ross,Wood,Hudson,2:38,N,30130,0.34,---, @ WAS,Alex Wood (L),Joe Ross (R),L 118,U 10.5
117,Monday Aug 12,CIN,L,6,7,,56-61,4,7.5,Fedde,DeSclafani,Doolittle,3:11,N,22394,0.45,--, @ WAS,Anthony DeSclafani (R),Erick Fedde (R),L -116,O 10.5
116,Sunday Aug 11,CIN,L,3,6,,56-60,4,7,Phelps,Lorenzen,Strop,2:55,D,31929,0.64,-, CHC,Luis Castillo (R),Jon Lester (L),L -143,P 9
115,Saturday Aug 10,CIN,W,10,1,,56-59,4,6,Gray,Hendricks,Romano,3:05,N,39866,0.56,++, CHC,Sonny Gray (R),Kyle Hendricks (R),W -108,O 8.5
114,Friday Aug 9,CIN,W,5,2,,55-59,4,7,Bauer,Darvish,Iglesias,2:44,N,31569,0.49,+, CHC,Trevor Bauer (R),Yu Darvish (R),W 105,U 9
113,Thursday Aug 8,CIN,L,5,12,,54-59,4,8,Chatwood,Gausman,,3:45,N,20111,0.64,-, CHC,Alex Wood (L),Cole Hamels (L),L 112,O 9.5
112,Tuesday Aug 6,CIN,W,8,4,,54-58,4,6.5,DeSclafani,Suarez,,3:08,N,19288,0.45,+++, LAA,Anthony DeSclafani (R),Jose Suarez (L),W -130,O 9.5
111,Monday Aug 5,CIN,W,7,4,,53-58,4,7.5,Castillo,Cole,Iglesias,3:07,N,21895,0.42,++, LAA,Luis Castillo (R),Taylor Cole (R),W -189,O 9.5
110,Sunday Aug 4,CIN,W,6,4,10,52-58,4,7.5,Stephenson,Greene,Hernandez,3:54,D,33083,0.32,+, @ ATL,Sonny Gray (R),Julio Teheran (R),W 108,O 9
109,Saturday Aug 3,CIN,L-wo,4,5,10,51-58,4,7.5,Jackson,Hughes,,3:47,N,42085,0.4,-, @ ATL,Trevor Bauer (R),Dallas Keuchel (L),L 123,O 8.5
108,Friday Aug 2,CIN,W,5,2,,51-57,4,7,Wood,Gausman,Iglesias,3:01,N,37743,0.31,+, @ ATL,Alex Wood (L),Kevin Gausman (R),W 157,U 9.5
107,Thursday Aug 1,CIN,L,1,4,6,50-57,4,7.5,Fried,DeSclafani,,2:08,N,28677,0.38,-, @ ATL,Anthony DeSclafani (R),Max Fried (L),L 155,U 9
106,Wednesday Jul 31,CIN,W,4,1,,50-56,4,6.5,Castillo,Agrazal,Iglesias,2:45,D,20886,0.3,+, PIT,Luis Castillo (R),Dario Agrazal (R),W -198,U 9.5
