game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,CLE,L,2,8,,93-69,2,8,Ross,Clevinger,,2:50,D,36764,0,-----, @ WAS,Mike Clevinger (R),Joe Ross (R),L -165,O 9
161,Saturday Sep 28,CLE,L,7,10,,93-68,2,8,Hudson,Plutko,,3:10,D,38435,0,----, @ WAS,Adam Plutko (R),Patrick Corbin (L),L 245,O 9
160,Friday Sep 27,CLE,L,2,8,,93-67,2,7,Voth,Goody,,2:44,N,27434,1.01,---, @ WAS,Zach Plesac (R),Austin Voth (R),L 130,O 9.5
159,Thursday Sep 26,CLE,L,0,8,,93-66,2,6,Osich,Civale,,2:57,N,16273,2.11,--, @ CHW,Aaron Civale (R),Jose Ruiz (R),L -171,U 9
158,Wednesday Sep 25,CLE,L,3,8,,93-65,2,5,Detwiler,Bieber,Colome,3:17,N,15980,2.9,-, @ CHW,Shane Bieber (R),Ross Detwiler (L),L -341,O 9.5
157,Tuesday Sep 24,CLE,W,11,0,,93-64,2,4,Clevinger,Fulmer,,3:02,N,13940,2.55,++, @ CHW,Mike Clevinger (R),Carson Fulmer (R),W -310,O 9
156,Sunday Sep 22,CLE,W,10,1,,92-64,2,4,Carrasco,Velasquez,,3:04,N,25309,2.05,+, PHI,Adam Plutko (R),Vince Velasquez (R),W -125,O 10.5
155,Saturday Sep 21,CLE,L,4,9,,91-64,2,4,Vargas,Perez,,3:17,N,32791,2.36,-, PHI,Zach Plesac (R),Jason Vargas (L),L -148,O 10.5
154,Friday Sep 20,CLE,W,5,2,,91-63,2,4,Bieber,Smyly,Carrasco,3:01,N,26329,2.37,+++++, PHI,Shane Bieber (R),Drew Smyly (L),W -195,U 9
153,Thursday Sep 19,CLE,W,7,0,,90-63,2,4,Clevinger,Norris,,3:17,N,19432,2.23,++++, DET,Mike Clevinger (R),Daniel Norris (L),W -401,U 8
152,Wednesday Sep 18,CLE,W-wo,2,1,10,89-63,2,4,Cimber,Cisnero,,2:45,N,15828,1.95,+++, DET,Aaron Civale (R),Spencer Turnbull (R),W -284,U 9
