game,date,result and moneyline
162,Sunday Oct 3,W 101
161,Saturday Oct 2,L -142
160,Friday Oct 1,W -110
159,Thursday Sep 30,W -151
158,Wednesday Sep 29,L -112
157,Tuesday Sep 28,L 112
156,Monday Sep 27,W -178
155,Sunday Sep 26,L 130
154,Saturday Sep 25,W 165
153,Friday Sep 24,L 102
152,Thursday Sep 23 (2),W 108
151,Thursday Sep 23 (1),L 121
150,Tuesday Sep 21,W -159
148,Monday Sep 20 (1),L -147
147,Sunday Sep 19,W 280
146,Saturday Sep 18,W 162
145,Friday Sep 17,L 173
144,Wednesday Sep 15,W 101
143,Tuesday Sep 14 (2),L 117
142,Tuesday Sep 14 (1),W 111
141,Sunday Sep 12,L 100
140,Saturday Sep 11,L 175
139,Friday Sep 10,L 126
138,Thursday Sep 9,W -161
137,Wednesday Sep 8,L -124
136,Tuesday Sep 7,L -127
135,Monday Sep 6,L 112
134,Sunday Sep 5,W 122
133,Saturday Sep 4,L 174
132,Friday Sep 3,L 153
131,Thursday Sep 2,W -102
130,Wednesday Sep 1,W 115
129,Tuesday Aug 31,W 111
128,Sunday Aug 29,W 140
127,Saturday Aug 28,L 121
126,Friday Aug 27,L 150
125,Thursday Aug 26,W -153
124,Wednesday Aug 25,W -188
123,Tuesday Aug 24,L -171
122,Sunday Aug 22,W -118
121,Saturday Aug 21,W -126
120,Friday Aug 20,W -119
119,Wednesday Aug 18,L 100
118,Tuesday Aug 17,W 157
117,Monday Aug 16,L 114
116,Sunday Aug 15,W -141
115,Saturday Aug 14,L 118
114,Friday Aug 13,W -116
113,Thursday Aug 12,L 159
112,Wednesday Aug 11,L 142
111,Tuesday Aug 10,L 132
110,Monday Aug 9,W 160
109,Sunday Aug 8,W -155
108,Saturday Aug 7,L -143
107,Friday Aug 6,W -136
106,Thursday Aug 5,L 177
105,Wednesday Aug 4,L 176
104,Tuesday Aug 3,L 187
103,Monday Aug 2,W 229
102,Sunday Aug 1,L 152
101,Saturday Jul 31,W 141
100,Friday Jul 30,L 207
99,Wednesday Jul 28,W -100
98,Tuesday Jul 27,L 107
97,Sunday Jul 25,W 153
96,Saturday Jul 24,L 141
95,Friday Jul 23,L 116
94,Thursday Jul 22,L 117
93,Wednesday Jul 21,W 227
92,Tuesday Jul 20,L 190
91,Monday Jul 19,L 193
90,Sunday Jul 18,W 155
89,Saturday Jul 17,W 158
88,Friday Jul 16,L 168
87,Saturday Jul 10,W -123
86,Friday Jul 9,W -142
85,Thursday Jul 8,W -136
84,Wednesday Jul 7 (2),L 188
83,Wednesday Jul 7 (1),L 140
82,Monday Jul 5,L 175
81,Sunday Jul 4,L 129
80,Saturday Jul 3,L 127
79,Friday Jul 2,L 142
78,Thursday Jul 1,L 156
77,Wednesday Jun 30 (2),L -133
75,Monday Jun 28,W -154
74,Sunday Jun 27,L 120
73,Friday Jun 25,L 116
72,Thursday Jun 24,W 169
71,Tuesday Jun 22,L 174
70,Monday Jun 21,W 129
69,Sunday Jun 20,W 119
68,Saturday Jun 19,L -114
67,Friday Jun 18,L -131
66,Thursday Jun 17,W -113
65,Wednesday Jun 16,W -153
64,Tuesday Jun 15,W -173
63,Monday Jun 14,W -157
62,Sunday Jun 13,L -229
61,Saturday Jun 12,W -111
60,Friday Jun 11,W -155
59,Wednesday Jun 9,L 119
58,Tuesday Jun 8,W -156
57,Sunday Jun 6,L -113
56,Saturday Jun 5,W 114
55,Friday Jun 4,L -107
54,Tuesday Jun 1,W -155
53,Monday May 31 (2),W -105
52,Monday May 31 (1),L 148
51,Sunday May 30 (2),W 150
50,Sunday May 30 (1),L -104
49,Friday May 28,L 154
48,Thursday May 27,W -166
47,Wednesday May 26,L -122
46,Tuesday May 25,W -145
45,Monday May 24,W 117
44,Sunday May 23,L -138
43,Saturday May 22,W -164
42,Friday May 21,L -123
41,Wednesday May 19,W 110
40,Tuesday May 18,W 103
39,Monday May 17,L 130
38,Sunday May 16,L -201
37,Saturday May 15,L -110
36,Friday May 14,L -115
35,Thursday May 13,W -117
34,Wednesday May 12,W -131
33,Tuesday May 11,W -179
32,Saturday May 8,W -114
31,Friday May 7,L -140
30,Thursday May 6,W 119
29,Wednesday May 5,W -161
28,Tuesday May 4,W 122
27,Monday May 3,W -112
26,Sunday May 2,W 143
25,Saturday May 1,L 157
24,Friday Apr 30,W -138
23,Wednesday Apr 28,L 113
22,Tuesday Apr 27,W 103
21,Monday Apr 26,W 114
20,Sunday Apr 25,W 113
19,Saturday Apr 24,L 116
18,Friday Apr 23,L 146
17,Thursday Apr 22,L -105
16,Tuesday Apr 20,L -101
15,Sunday Apr 18,W -162
14,Saturday Apr 17,L 124
13,Friday Apr 16,L 111
12,Thursday Apr 15,W 145
11,Wednesday Apr 14,L 101
10,Tuesday Apr 13,W 101
9,Monday Apr 12,L 114
8,Sunday Apr 11,W -168
7,Saturday Apr 10,W -157
6,Friday Apr 9,W -185
5,Wednesday Apr 7,W -185
4,Monday Apr 5,L -133
3,Sunday Apr 4,W -130
2,Saturday Apr 3,L -152
1,Thursday Apr 1,L -167
