game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
160,Saturday Oct 2,COL,L,2,11,,74-86,4,31.5,Gallen,Senzatela,,3:17,N,19418,0,-, @ ARI,Antonio Senzatela (R),Zac Gallen (R),L 123,O 8.5
159,Friday Oct 1,COL,W,9,7,,74-85,4,31.5,Gilbreath,Wendelken,Estevez,3:22,N,15189,0,+++, @ ARI,Jon Gray (R),Humberto Castellanos (R),W -109,O 9
158,Wednesday Sep 29,COL,W,10,5,,73-85,4,31,Goudeau,Thompson,,3:57,D,20613,0,++, WAS,Peter Lambert (R),Paolo Espino (R),W -119,O 11.5
157,Tuesday Sep 28,COL,W,3,1,,72-85,4,31,Freeland,Corbin,Estevez,3:00,N,21693,0,+, WAS,Kyle Freeland (L),Patrick Corbin (L),W -133,U 11.5
156,Monday Sep 27,COL,L,4,5,,71-85,4,31,Gray,Marquez,Rainey,3:45,N,20388,0,-----, WAS,German Marquez (R),Josiah Gray (R),L -166,U 12
155,Sunday Sep 26,COL,L,2,6,,71-84,4,30.5,Doval,Bard,,3:31,D,31043,0,----, SF,Antonio Senzatela (R),Kevin Gausman (R),L 153,U 11.5
154,Saturday Sep 25,COL,L,2,7,,71-83,4,29.5,Watson,Gray,,3:36,N,45063,0,---, SF,Jon Gray (R),Anthony DeSclafani (R),L 132,U 11.5
153,Friday Sep 24,COL,L,2,7,,71-82,4,28.5,Castro,Goudeau,,3:06,N,41613,0,--, SF,Peter Lambert (R),Alex Wood (L),L 166,U 12.5
152,Thursday Sep 23,COL,L,5,7,10,71-81,4,27.5,Jansen,Gilbreath,Treinen,4:01,D,22356,0,-, LAD,Kyle Freeland (L),Max Scherzer (R),L 230,O 10.5
151,Wednesday Sep 22,COL,W,10,5,,71-80,4,27.5,Stephenson,Bruihl,,3:25,N,27013,0,+, LAD,German Marquez (R),Walker Buehler (R),W 168,O 10.5
150,Tuesday Sep 21,COL,L,4,5,10,70-80,4,27.5,Jansen,Chacin,Vesia,3:30,N,23869,0,--, LAD,Antonio Senzatela (R),Julio Urias (L),L 182,U 11
149,Sunday Sep 19,COL,L,0,3,,70-79,4,26.5,Espino,Gray,Finnegan,3:01,D,26303,0,-, @ WAS,Jon Gray (R),Paolo Espino (R),L -105,U 8.5
148,Saturday Sep 18,COL,W,6,0,,70-78,4,26.5,Freeland,Corbin,,3:06,D,29315,0,+++++, @ WAS,Kyle Freeland (L),Patrick Corbin (L),W 112,U 9.5
147,Friday Sep 17,COL,W,9,8,,69-78,4,26.5,Gilbreath,Finnegan,Estevez,4:04,N,21195,0,++++, @ WAS,German Marquez (R),Josiah Gray (R),W -111,O 9
146,Wednesday Sep 15,COL,W,3,2,10,68-78,4,27,Estevez,Minter,Stephenson,4:16,N,21382,0,+++, @ ATL,Antonio Senzatela (R),Huascar Ynoa (R),W 193,U 8.5
145,Tuesday Sep 14,COL,W,5,4,,67-78,4,28,Gray,Toussaint,Estevez,3:12,N,22579,0,++, @ ATL,Jon Gray (R),Touki Toussaint (R),W 134,P 9
144,Sunday Sep 12,COL,W,5,4,,66-78,4,27.5,Goudeau,Neris,Estevez,3:27,D,24099,0,+, @ PHI,Ryan Feltner (R),Aaron Nola (R),W 245,P 9
143,Saturday Sep 11,COL,L,1,6,,65-78,4,27.5,Wheeler,Freeland,,3:17,N,23232,0,-, @ PHI,Kyle Freeland (L),Zack Wheeler (R),L 200,U 7.5
142,Friday Sep 10,COL,W,11,2,,65-77,4,26.5,Marquez,Falter,,3:39,N,22138,0,++, @ PHI,German Marquez (R),Sam Coonrod (R),W 137,O 8.5
