game,date,result and moneyline
162,Sunday Sep 30,L 246
161,Saturday Sep 29,L 231
160,Friday Sep 28,L 226
159,Thursday Sep 27,L 113
158,Wednesday Sep 26,L 127
157,Tuesday Sep 25,W 131
156,Sunday Sep 23,L -119
155,Saturday Sep 22,W -107
154,Friday Sep 21,L -101
153,Thursday Sep 20,W -138
152,Wednesday Sep 19,L 102
151,Tuesday Sep 18,L -104
150,Monday Sep 17,L 104
149,Sunday Sep 16,W 172
148,Saturday Sep 15,L 241
147,Friday Sep 14,W 182
146,Wednesday Sep 12,L 244
145,Tuesday Sep 11,L 165
144,Monday Sep 10,L 291
143,Sunday Sep 9,L 116
142,Saturday Sep 8,W 156
141,Friday Sep 7,W 132
140,Wednesday Sep 5,W 136
139,Tuesday Sep 4,W 147
138,Monday Sep 3,L 107
137,Sunday Sep 2,W 236
136,Saturday Sep 1,L 305
135,Friday Aug 31,L 305
134,Thursday Aug 30,W 284
133,Wednesday Aug 29,L -104
132,Tuesday Aug 28,L 106
131,Sunday Aug 26,L 106
130,Saturday Aug 25,L -115
129,Friday Aug 24,L -134
128,Thursday Aug 23,W -128
127,Wednesday Aug 22,L 161
126,Tuesday Aug 21,W 180
125,Sunday Aug 19,L 172
124,Saturday Aug 18,W 156
123,Friday Aug 17,L 165
122,Thursday Aug 16,L 150
121,Wednesday Aug 15,L -111
120,Tuesday Aug 14,L -125
119,Monday Aug 13,W -103
118,Sunday Aug 12,W 106
117,Saturday Aug 11,L 120
116,Friday Aug 10,W -104
115,Wednesday Aug 8,L 123
114,Tuesday Aug 7,L 182
113,Monday Aug 6,L 120
112,Sunday Aug 5,L 205
111,Saturday Aug 4,L 155
110,Friday Aug 3,L 170
109,Wednesday Aug 1,W 107
108,Tuesday Jul 31,W -111
107,Sunday Jul 29,L 212
106,Saturday Jul 28,W 174
105,Friday Jul 27,L 231
104,Wednesday Jul 25,W 109
103,Tuesday Jul 24,L -105
102,Monday Jul 23,W -107
101,Sunday Jul 22,L 273
100,Saturday Jul 21,W 135
99,Friday Jul 20,L 184
98,Sunday Jul 15,W 351
97,Saturday Jul 14,L 244
96,Friday Jul 13,L 236
95,Wednesday Jul 11,L 120
94,Tuesday Jul 10,L 168
93,Monday Jul 9,L 192
92,Sunday Jul 8,L -110
91,Saturday Jul 7,W 114
90,Friday Jul 6,W 105
89,Thursday Jul 5,L -109
88,Wednesday Jul 4,L 198
87,Tuesday Jul 3,L 176
86,Monday Jul 2,W 123
85,Sunday Jul 1,W 177
84,Saturday Jun 30,L 150
83,Friday Jun 29,L 184
82,Thursday Jun 28,L 104
81,Wednesday Jun 27,L 110
80,Tuesday Jun 26,L 111
79,Monday Jun 25,L 105
78,Sunday Jun 24,L 147
77,Saturday Jun 23,L 221
76,Friday Jun 22,L 204
75,Wednesday Jun 20,L 124
74,Tuesday Jun 19,L 121
73,Sunday Jun 17,W -114
72,Saturday Jun 16,W -104
71,Friday Jun 15,W 127
70,Thursday Jun 14,W -102
69,Wednesday Jun 13,W 128
68,Tuesday Jun 12,L -110
67,Sunday Jun 10,L 202
66,Saturday Jun 9,W 142
65,Friday Jun 8,L 156
64,Thursday Jun 7,W 151
63,Wednesday Jun 6,L 188
62,Tuesday Jun 5,L 170
61,Monday Jun 4 (2),W 175
60,Monday Jun 4 (1),L 249
59,Sunday Jun 3,L -114
58,Saturday Jun 2,W 124
57,Friday Jun 1,W -101
56,Thursday May 31,W 179
55,Wednesday May 30,W 209
54,Tuesday May 29,L 128
53,Monday May 28,W 161
52,Sunday May 27,W -123
51,Saturday May 26,L -108
50,Friday May 25,W -110
49,Wednesday May 23,W 143
48,Tuesday May 22,L 161
47,Monday May 21,L 191
46,Sunday May 20,L 147
45,Saturday May 19,L 235
44,Friday May 18,L 153
43,Thursday May 17,W 165
42,Wednesday May 16,L 197
41,Tuesday May 15,W 136
40,Monday May 14,W 241
39,Sunday May 13,W 204
38,Saturday May 12 (2),L 102
37,Saturday May 12 (1),W 133
36,Wednesday May 9,L 152
35,Tuesday May 8,W 156
34,Monday May 7,L 101
33,Sunday May 6,L 134
32,Saturday May 5,W 139
31,Friday May 4,L 135
30,Thursday May 3,L 120
29,Wednesday May 2,W 114
28,Tuesday May 1,W 143
27,Monday Apr 30,L 120
26,Sunday Apr 29,L 139
25,Saturday Apr 28,W 130
24,Friday Apr 27,L 104
23,Thursday Apr 26,L 139
22,Wednesday Apr 25 (2),L 143
21,Wednesday Apr 25 (1),W 182
20,Sunday Apr 22,L -170
19,Saturday Apr 21,W -107
18,Friday Apr 20 (2),L -100
17,Friday Apr 20 (1),W -127
16,Thursday Apr 19,W 109
15,Wednesday Apr 18,W 108
14,Tuesday Apr 17,W 102
13,Friday Apr 13,L 165
12,Thursday Apr 12,L 191
11,Wednesday Apr 11,L 257
10,Tuesday Apr 10,L 181
9,Monday Apr 9,L 254
8,Sunday Apr 8,W 156
7,Saturday Apr 7,W 112
6,Thursday Apr 5,W 124
5,Tuesday Apr 3,L -105
4,Monday Apr 2,W -111
3,Sunday Apr 1 (2),L 113
2,Sunday Apr 1 (1),L -107
1,Friday Mar 30,L 120
