game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,HOU,W,8,5,,107-55,1,up10.0,Cole,Peters,Harris,3:30,D,34693,0.05,+++,†@ LAA,Gerrit Cole†(R),Dillon Peters†(L),W†-372,O†9
161,Saturday Sep 28,HOU,W,6,3,,106-55,1,up 9.0,Verlander,Bard,Osuna,2:55,N,35814,0.11,++,†@ LAA,Justin Verlander†(R),Jose Suarez†(L),W†-422,O†8.5
160,Friday Sep 27,HOU,W,4,0,,105-55,1,up 9.0,Urquidy,Sandoval,,2:37,N,41763,0.09,+,†@ LAA,Jose Urquidy†(R),Patrick Sandoval†(L),W†-220,U†9.5
159,Thursday Sep 26,HOU,L-wo,3,4,12,104-55,1,up 8.0,Cahill,Biagini,,4:32,N,39658,0.04,-,†@ LAA,Wade Miley†(L),Jaime Barria†(R),L†-184,U†9
158,Wednesday Sep 25,HOU,W,3,0,,104-54,1,up 9.0,Greinke,Kikuchi,Harris,2:33,N,10916,0.09,+++,†@ SEA,Zack Greinke†(R),Yusei Kikuchi†(L),W†-317,U†9.5
157,Tuesday Sep 24,HOU,W,3,0,,103-54,1,up 9.0,Cole,Milone,Osuna,2:51,N,11259,0.14,++,†@ SEA,Gerrit Cole†(R),Justin Dunn†(R),W†-395,U†8.5
156,Sunday Sep 22,HOU,W,13,5,,102-54,1,up 8.0,Verlander,Rodr√≠guez,,3:32,D,43169,0.15,+,†LAA,Justin Verlander†(R),Jose Rodriguez†(R),W†-478,O†8.5
155,Saturday Sep 21,HOU,L,4,8,,101-54,1,up 7.0,Bard,Miley,,3:23,N,43264,0.07,-,†LAA,Wade Miley†(L),Patrick Sandoval†(L),L†-298,O†10
154,Friday Sep 20,HOU,W,6,4,,101-53,1,up 8.0,Greinke,Barria,Osuna,2:49,N,40106,0.08,++++++,†LAA,Zack Greinke†(R),Jaime Barria†(R),W†-375,O†9
153,Wednesday Sep 18,HOU,W,3,2,,100-53,1,up 8.0,Cole,Allard,Osuna,2:35,N,38417,0.18,+++++,†TEX,Gerrit Cole†(R),Kolby Allard†(L),W†-453,U†8.5
152,Tuesday Sep 17,HOU,W,4,1,,99-53,1,up 8.0,Verlander,Lynn,Osuna,2:45,N,39650,0.12,++++,†TEX,Justin Verlander†(R),Lance Lynn†(R),W†-326,U†8
151,Sunday Sep 15,HOU,W,12,3,,98-53,1,up 7.5,Miley,Junis,,3:17,D,17205,0.16,+++,†@ KC,Wade Miley†(L),Jakob Junis†(R),W†-216,O†10.5
150,Saturday Sep 14,HOU,W,6,1,,97-53,1,up 7.5,Greinke,Montgomery,,3:17,N,20716,0.17,++,†@ KC,Zack Greinke†(R),Mike Montgomery†(L),W†-323,U†10
149,Friday Sep 13,HOU,W,4,1,,96-53,1,up 7.5,Cole,Fillmyer,Osuna,2:58,N,20593,0.16,+,†@ KC,Gerrit Cole†(R),Danny Duffy†(L),W†-376,U†9
