game,date,result and moneyline
162,Sunday Oct 3,W -161
161,Saturday Oct 2,W -169
160,Friday Oct 1,L -135
159,Thursday Sep 30,W -145
158,Wednesday Sep 29,L -140
157,Tuesday Sep 28,W -131
156,Sunday Sep 26,L -113
155,Saturday Sep 25,L -106
154,Friday Sep 24,L 108
153,Thursday Sep 23,L -149
152,Wednesday Sep 22,W -189
151,Tuesday Sep 21,W -181
150,Monday Sep 20,W -198
149,Sunday Sep 19,W -185
148,Saturday Sep 18,L -275
147,Friday Sep 17,W -216
146,Thursday Sep 16,W -157
145,Wednesday Sep 15,W -184
144,Tuesday Sep 14,L -187
143,Monday Sep 13,W -172
142,Sunday Sep 12,W -278
141,Saturday Sep 11,L -226
140,Friday Sep 10,W -195
139,Wednesday Sep 8,L -169
138,Tuesday Sep 7,W -164
137,Monday Sep 6,W -212
136,Sunday Sep 5,L -104
135,Saturday Sep 4,L 102
134,Friday Sep 3,W -119
133,Wednesday Sep 1,L -131
132,Tuesday Aug 31,L -159
131,Monday Aug 30,W -155
130,Sunday Aug 29,L -213
129,Saturday Aug 28,W -236
128,Friday Aug 27,W -186
127,Wednesday Aug 25,W -251
126,Tuesday Aug 24,W -253
125,Monday Aug 23,L -252
124,Sunday Aug 22,L -191
123,Saturday Aug 21,W -142
122,Friday Aug 20,W -177
121,Thursday Aug 19,W -166
120,Wednesday Aug 18,L -181
119,Tuesday Aug 17,L -170
118,Monday Aug 16,L -151
117,Sunday Aug 15,L -192
116,Saturday Aug 14,W -205
115,Friday Aug 13,W -134
114,Wednesday Aug 11,W -253
113,Tuesday Aug 10,W -185
112,Sunday Aug 8,L -179
111,Saturday Aug 7,W -238
110,Friday Aug 6,L -200
109,Thursday Aug 5,L -234
108,Wednesday Aug 4,L 207
107,Tuesday Aug 3,W 162
106,Sunday Aug 1,L 109
105,Saturday Jul 31,L 103
104,Friday Jul 30,W 112
103,Wednesday Jul 28,W -111
102,Tuesday Jul 27,W -163
101,Monday Jul 26,L -163
100,Sunday Jul 25,W -249
99,Saturday Jul 24,W -215
98,Friday Jul 23,W -204
97,Wednesday Jul 21,L -253
96,Tuesday Jul 20,W -209
95,Monday Jul 19,W -213
94,Sunday Jul 18,L 122
93,Saturday Jul 17,L 101
92,Friday Jul 16,W -122
91,Sunday Jul 11,W -129
90,Saturday Jul 10,L -101
89,Friday Jul 9,L -130
88,Thursday Jul 8,L -170
87,Wednesday Jul 7,W -157
86,Tuesday Jul 6,W -158
85,Sunday Jul 4,W -140
84,Saturday Jul 3,W -138
83,Friday Jul 2,W -155
82,Thursday Jul 1,W -170
81,Wednesday Jun 30,L -290
80,Tuesday Jun 29,L -287
79,Monday Jun 28,L -358
78,Sunday Jun 27,L -166
77,Saturday Jun 26 (2),W -225
76,Saturday Jun 26 (1),L -207
75,Thursday Jun 24,W -224
74,Wednesday Jun 23,W -213
73,Tuesday Jun 22,W -187
72,Monday Jun 21,W -166
71,Sunday Jun 20,W -135
70,Saturday Jun 19,W -119
69,Friday Jun 18,W -102
68,Thursday Jun 17,W -126
67,Wednesday Jun 16,W -230
66,Tuesday Jun 15,W -175
65,Sunday Jun 13,W -151
64,Saturday Jun 12,L -113
63,Friday Jun 11,W -134
62,Thursday Jun 10,L -103
61,Wednesday Jun 9,W 122
60,Tuesday Jun 8,W -128
59,Sunday Jun 6,W -101
58,Saturday Jun 5,L -102
57,Friday Jun 4,W 123
56,Thursday Jun 3,L -115
55,Wednesday Jun 2,W -143
54,Tuesday Jun 1,W -161
53,Monday May 31,W -101
52,Sunday May 30,W -116
51,Saturday May 29,L 138
50,Friday May 28,L -111
49,Wednesday May 26,W 146
48,Tuesday May 25,L 104
47,Sunday May 23,L -143
46,Saturday May 22,L -169
45,Friday May 21,L -122
44,Thursday May 20,W -115
43,Wednesday May 19,W -113
42,Tuesday May 18,L -116
41,Sunday May 16,W -173
40,Saturday May 15,W -160
39,Friday May 14,W -213
38,Thursday May 13,W -201
37,Wednesday May 12,W -163
36,Tuesday May 11,W -146
35,Monday May 10,L -176
34,Sunday May 9,W -151
33,Saturday May 8,L -143
32,Friday May 7,W -138
31,Thursday May 6,W 172
30,Wednesday May 5,L 123
29,Tuesday May 4,L 107
28,Sunday May 2,L -125
27,Saturday May 1,W -107
26,Friday Apr 30,W -122
25,Thursday Apr 29,L -158
24,Wednesday Apr 28,W -209
23,Tuesday Apr 27,W -191
22,Monday Apr 26,W -170
21,Sunday Apr 25,L -138
20,Saturday Apr 24,W -149
19,Friday Apr 23,W -159
18,Thursday Apr 22,W -124
17,Wednesday Apr 21,L -137
16,Tuesday Apr 20,L -111
15,Sunday Apr 18,L -125
14,Saturday Apr 17,W -127
13,Friday Apr 16,L -107
12,Wednesday Apr 14,L -181
11,Tuesday Apr 13,L -185
10,Monday Apr 12,L -251
9,Saturday Apr 10,L -145
8,Friday Apr 9,L -177
7,Thursday Apr 8,W -163
6,Tuesday Apr 6,W -102
5,Monday Apr 5,L 101
4,Sunday Apr 4,W 106
3,Saturday Apr 3,W -125
2,Friday Apr 2,W 113
1,Thursday Apr 1,W -101
