game,date,result and moneyline
162,Sunday Oct 3,L -101
161,Saturday Oct 2,L -128
160,Friday Oct 1,W 104
159,Thursday Sep 30,L 139
158,Wednesday Sep 29,W 103
157,Tuesday Sep 28,W -121
156,Monday Sep 27,L 163
155,Sunday Sep 26,W -112
154,Saturday Sep 25,L 112
153,Friday Sep 24,W -106
152,Tuesday Sep 21,L 146
150,Monday Sep 20 (1),W 135
149,Sunday Sep 19,L 105
148,Saturday Sep 18,W -114
147,Friday Sep 17,L 102
146,Thursday Sep 16,L 109
145,Wednesday Sep 15,L 123
144,Tuesday Sep 14,W 139
143,Sunday Sep 12,W 147
142,Saturday Sep 11,L 122
141,Friday Sep 10,W 122
140,Thursday Sep 9,W 103
139,Wednesday Sep 8,L -124
138,Tuesday Sep 7,L -118
137,Monday Sep 6,W -114
136,Sunday Sep 5,W 129
135,Saturday Sep 4,L 139
134,Friday Sep 3,W 109
133,Thursday Sep 2,L -107
132,Wednesday Sep 1,L -124
131,Tuesday Aug 31,L -120
130,Sunday Aug 29,L 138
129,Saturday Aug 28,W 141
128,Friday Aug 27,W 163
127,Thursday Aug 26,W 152
126,Wednesday Aug 25,L 225
125,Tuesday Aug 24,L 226
124,Monday Aug 23,W 226
123,Sunday Aug 22,W 102
122,Saturday Aug 21,W 117
121,Friday Aug 20,W -106
120,Thursday Aug 19,L 152
119,Wednesday Aug 18,W 165
118,Tuesday Aug 17,W 155
117,Monday Aug 16,W 139
116,Sunday Aug 15,L 101
115,Saturday Aug 14,L -115
114,Friday Aug 13,L 127
113,Wednesday Aug 11,L 132
112,Tuesday Aug 10,W 137
111,Monday Aug 9,L 153
110,Sunday Aug 8,W 120
109,Saturday Aug 7,L 132
108,Friday Aug 6,L 171
107,Thursday Aug 5,W 177
106,Wednesday Aug 4,W 246
105,Tuesday Aug 3,L 210
104,Sunday Aug 1,L 213
103,Saturday Jul 31,L 212
102,Friday Jul 30,L 216
101,Thursday Jul 29,W 161
100,Wednesday Jul 28,W 162
99,Tuesday Jul 27,L 140
98,Monday Jul 26,W 109
97,Sunday Jul 25,W -105
96,Saturday Jul 24,W -140
95,Friday Jul 23,W -113
94,Wednesday Jul 21,W 163
93,Tuesday Jul 20,W 145
92,Sunday Jul 18,L -146
91,Saturday Jul 17,L -159
90,Friday Jul 16,W -153
89,Saturday Jul 10,L 113
88,Friday Jul 9,L 131
87,Thursday Jul 8,L 125
86,Wednesday Jul 7,L 115
85,Tuesday Jul 6,W 142
84,Monday Jul 5,L -127
83,Sunday Jul 4,L 125
82,Saturday Jul 3,W -120
81,Friday Jul 2,W -106
80,Thursday Jul 1,L 211
79,Wednesday Jun 30,L 127
78,Tuesday Jun 29,L 198
77,Monday Jun 28,L 138
76,Sunday Jun 27,L -103
75,Saturday Jun 26,L 143
74,Friday Jun 25,L 110
73,Thursday Jun 24,L 185
72,Wednesday Jun 23,L 157
71,Tuesday Jun 22,W 239
70,Sunday Jun 20,W 122
69,Saturday Jun 19,L 107
68,Friday Jun 18,W 139
67,Wednesday Jun 16,L -145
66,Tuesday Jun 15,L -131
65,Monday Jun 14,L -151
64,Sunday Jun 13,L 169
63,Saturday Jun 12,L 139
62,Friday Jun 11,L 118
61,Thursday Jun 10,W 135
60,Wednesday Jun 9,L 140
59,Tuesday Jun 8,L 149
58,Monday Jun 7,L 132
57,Sunday Jun 6,L -134
56,Saturday Jun 5,L -101
55,Friday Jun 4,W -131
54,Thursday Jun 3,W -112
53,Tuesday Jun 1,W -163
52,Monday May 31,W -187
51,Sunday May 30,W 115
50,Saturday May 29,L 139
49,Friday May 28,W 145
48,Thursday May 27,L 150
47,Wednesday May 26,L 180
46,Tuesday May 25,W 171
45,Sunday May 23,W -139
44,Saturday May 22,W -146
43,Friday May 21,L -161
42,Wednesday May 19,W 174
41,Tuesday May 18,W 155
40,Sunday May 16,L 158
39,Saturday May 15,W 172
38,Friday May 14 (2),L 149
37,Friday May 14 (1),W 166
36,Thursday May 13,L -103
35,Wednesday May 12,L -146
34,Tuesday May 11,L -128
33,Sunday May 9,L 127
32,Saturday May 8,L 151
31,Friday May 7,L 131
30,Thursday May 6,L -129
29,Wednesday May 5,L 148
28,Tuesday May 4,L -133
27,Monday May 3,L 104
26,Sunday May 2,L 183
25,Saturday May 1,W 128
24,Friday Apr 30,L 122
23,Wednesday Apr 28,W -122
22,Tuesday Apr 27,L 103
21,Monday Apr 26,W -102
20,Sunday Apr 25,W -114
19,Saturday Apr 24,W -112
18,Friday Apr 23,W -112
17,Wednesday Apr 21,W -100
16,Tuesday Apr 20,L 100
15,Monday Apr 19,L -105
14,Sunday Apr 18,W -112
13,Saturday Apr 17 (2),W 112
12,Saturday Apr 17 (1),L -102
11,Thursday Apr 15,W -120
10,Wednesday Apr 14,W 113
9,Tuesday Apr 13,W 118
8,Monday Apr 12,L 106
7,Sunday Apr 11,W 103
6,Thursday Apr 8,L 163
5,Wednesday Apr 7,L 168
4,Monday Apr 5,W 122
3,Sunday Apr 4,L -165
2,Saturday Apr 3,W -158
1,Thursday Apr 1,W -155
