game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,KCR,W-wo,5,4,,59-103,4,42,Kennedy,Graterol,,2:40,D,17875,0,+, MIN,Jorge Lopez (R),Martin Perez (L),W 118,U 10.5
161,Saturday Sep 28,KCR,L,3,4,,58-103,4,43,Duffey,Barnes,Rogers,3:04,D,21995,0,---, MIN,Glenn Sparkman (R),Cody Stashak (R),L 170,U 10.5
160,Friday Sep 27,KCR,L,2,6,7,58-102,4,42,Berrios,Skoglund,,1:54,N,15389,0,--, MIN,Eric Skoglund (L),Jose Berrios (R),L 211,U 10
159,Wednesday Sep 25,KCR,L,2,10,,58-101,4,40.5,Jackson,Barnes,,3:31,N,16931,0,-, ATL,Mike Montgomery (L),Josh Tomlin (R),L 121,O 9.5
158,Tuesday Sep 24,KCR,W,9,6,,58-100,4,39.5,Duffy,Teheran,,3:28,N,16688,0,+, ATL,Danny Duffy (L),Julio Teheran (R),W 145,O 9.5
157,Sunday Sep 22,KCR,L,8,12,,57-100,4,39.5,Littell,Lopez,,4:05,D,31628,0,-, @ MIN,Jorge Lopez (R),Martin Perez (L),L 205,O 10.5
156,Saturday Sep 21,KCR,W,12,5,,57-99,4,38.5,Rosario,Rogers,,3:25,N,37750,0,+, @ MIN,Glenn Sparkman (R),Jose Berrios (R),W 307,O 10
155,Friday Sep 20,KCR,L,3,4,,56-99,4,39.5,Dobnak,Skoglund,May,3:00,N,29468,0,----, @ MIN,Eric Skoglund (L),Randy Dobnak (R),L 250,U 11
154,Thursday Sep 19,KCR,L,5,8,,56-98,4,38.5,Thorpe,Barnes,Rogers,3:37,N,24565,0,---, @ MIN,Mike Montgomery (L),Kyle Gibson (R),L 218,O 10.5
153,Wednesday Sep 18,KCR,L-wo,0,1,11,56-97,4,37.5,Wendelken,Hahn,,3:09,D,16714,0,--, @ OAK,Danny Duffy (L),Homer Bailey (R),L 224,U 9.5
152,Tuesday Sep 17,KCR,L,1,2,,56-96,4,37.5,Puk,Lopez,Hendriks,2:32,N,14992,0,-, @ OAK,Jorge Lopez (R),Brett Anderson (L),L 230,U 9.5
151,Monday Sep 16,KCR,W,6,5,,56-95,4,36.5,McCarthy,Hendriks,Kennedy,3:35,N,12902,0,+, @ OAK,Glenn Sparkman (R),Tanner Roark (R),W 277,O 9.5
150,Sunday Sep 15,KCR,L,3,12,,55-95,4,36.5,Miley,Junis,,3:17,D,17205,0,---, HOU,Jakob Junis (R),Wade Miley (L),L 197,O 10.5
149,Saturday Sep 14,KCR,L,1,6,,55-94,4,36.5,Greinke,Montgomery,,3:17,N,20716,0,--, HOU,Mike Montgomery (L),Zack Greinke (R),L 291,U 10
148,Friday Sep 13,KCR,L,1,4,,55-93,4,35,Cole,Fillmyer,Osuna,2:58,N,20593,0,-, HOU,Danny Duffy (L),Gerrit Cole (R),L 335,U 9
147,Thursday Sep 12,KCR,W,6,3,,55-92,4,34.5,Lopez,Giolito,Kennedy,3:08,D,13838,0,++, @ CHW,Jorge Lopez (R),Lucas Giolito (R),W 183,O 8.5
146,Wednesday Sep 11,KCR,W,8,6,,54-92,4,35.5,Sparkman,Lopez,Kennedy,3:16,N,14385,0,+, @ CHW,Glenn Sparkman (R),Reynaldo Lopez (R),W 148,O 10.5
145,Tuesday Sep 10,KCR,L,3,7,,53-92,4,36.5,Nova,Junis,,3:02,N,15196,0,--, @ CHW,Jakob Junis (R),Ivan Nova (R),L 106,O 9.5
144,Sunday Sep 8,KCR,L,0,9,,53-91,4,35.5,Alcantara,Montgomery,,2:40,D,10934,0,-, @ MIA,Mike Montgomery (L),Sandy Alcantara (R),L -110,O 8.5
143,Saturday Sep 7,KCR,W,7,2,,53-90,4,35.5,Duffy,Conley,Hill,3:24,N,13112,0,++, @ MIA,Danny Duffy (L),Caleb Smith (L),W -110,O 8.5
142,Friday Sep 6,KCR,W,3,0,,52-90,4,35.5,Lopez,Lopez,Kennedy,2:52,N,8915,0,+, @ MIA,Jorge Lopez (R),Pablo Lopez (R),W 110,U 8.5
