game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,LAD,W,9,0,,106-56,1,up21.0,May,Rodriguez,,3:23,D,41909,0.05,+++++++, @ SF,Rich Hill (L),Dereck Rodriguez (R),W -164,O 8.5
161,Saturday Sep 28,LAD,W,2,0,,105-56,1,up21.0,Ryu,Webb,Jansen,2:40,D,37518,0.13,++++++, @ SF,Hyun Jin Ryu (L),Logan Webb (R),W -212,U 8
160,Friday Sep 27,LAD,W,9,2,,104-56,1,up21.0,Buehler,Cueto,,3:42,N,36554,0.11,+++++, @ SF,Walker Buehler (R),Johnny Cueto (R),W -190,O 7.5
159,Thursday Sep 26,LAD,W,1,0,,103-56,1,up21.0,Kershaw,Lucchesi,Maeda,2:55,D,26285,0.1,++++, @ SD,Clayton Kershaw (L),Joey Lucchesi (L),W -193,U 8
158,Wednesday Sep 25,LAD,W,6,4,,102-56,1,up20.5,Floro,Bednar,Jansen,3:20,N,30552,0.07,+++, @ SD,Ross Stripling (R),Dinelson Lamet (R),W -169,O 8.5
157,Tuesday Sep 24,LAD,W,6,3,,101-56,1,up20.5,Gonsolin,Bolanos,Jansen,2:58,N,29708,0.06,++, @ SD,Rich Hill (L),Ronald Bolanos (R),W -213,P 9
156,Sunday Sep 22,LAD,W,7,4,,100-56,1,up20.0,Ryu,Senzatela,,3:13,D,47948,0.08,+, COL,Hyun Jin Ryu (L),Antonio Senzatela (R),W -340,O 9
155,Saturday Sep 21,LAD,L,2,4,,99-56,1,up19.0,Gonzalez,Buehler,Diaz,3:01,N,50705,0.07,-, COL,Walker Buehler (R),Kyle Freeland (L),L -399,U 8.5
154,Friday Sep 20,LAD,W,12,5,,99-55,1,up20.0,Kershaw,Lambert,,3:39,N,53704,0.08,+, COL,Clayton Kershaw (L),Peter Lambert (R),W -399,O 8.5
153,Wednesday Sep 18,LAD,L,7,8,11,98-55,1,up20.0,Poche,Sborz,Fairbanks,4:40,N,48253,0.08,-, TB,Casey Sadler (R),Brendan McKay (L),L -125,O 9
152,Tuesday Sep 17,LAD,W,7,5,,98-54,1,up21.0,Maeda,Fairbanks,Jansen,3:43,N,48663,0.09,++, TB,Caleb Ferguson (L),Blake Snell (L),W -114,O 8
151,Sunday Sep 15,LAD,W,3,2,,97-54,1,up20.5,Jansen,Lugo,Maeda,3:12,N,31521,0.11,+, @ NYM,Walker Buehler (R),Zack Wheeler (R),W -147,U 8
150,Saturday Sep 14,LAD,L,0,3,,96-54,1,up19.5,Lugo,Kelly,Wilson,2:40,N,39264,0.09,-, @ NYM,Hyun Jin Ryu (L),Jacob deGrom (R),L 136,U 7.5
