game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,MIA,W,4,3,,57-105,5,40,Alcantara,Parker,Kinley,2:50,D,31805,0,+, @ PHI,Sandy Alcantara (R),Blake Parker (R),W 153,U 9
161,Saturday Sep 28,MIA,L,3,9,,56-105,5,41,Eflin,Smith,,3:06,N,25156,0,--, @ PHI,Caleb Smith (L),Zach Eflin (R),L 167,O 9
160,Friday Sep 27,MIA,L-wo,4,5,15,56-104,5,41,Suarez,Conley,,5:13,N,24143,0,-, @ PHI,Pablo Lopez (R),Vince Velasquez (R),L 172,P 9
159,Thursday Sep 26,MIA,W,4,2,,56-103,5,41,Brigham,Wheeler,Urena,2:45,N,21729,0,+, @ NYM,Jordan Yamamoto (R),Zack Wheeler (R),W 243,U 8
158,Wednesday Sep 25,MIA,L,3,10,,55-103,5,41.5,deGrom,Dugger,,2:48,N,21471,0,--, @ NYM,Robert Dugger (R),Jacob deGrom (R),L 411,O 7.5
157,Tuesday Sep 24,MIA,L-wo,4,5,11,55-102,5,40.5,Sewald,Conley,,3:51,N,21766,0,-, @ NYM,Sandy Alcantara (R),Noah Syndergaard (R),L 267,O 8
156,Monday Sep 23,MIA,W,8,4,,55-101,5,40.5,Smith,Matz,,3:25,N,21189,0,++, @ NYM,Caleb Smith (L),Steven Matz (L),W 233,O 8.5
155,Sunday Sep 22,MIA,W,5,3,,54-101,5,41,Garcia,Suero,Brigham,3:13,D,19709,0,+, WAS,Pablo Lopez (R),Austin Voth (R),W 169,U 8.5
154,Saturday Sep 21,MIA,L,4,10,10,53-101,5,42,Suero,Urena,,4:20,N,18085,0,---, WAS,Jordan Yamamoto (R),Stephen Strasburg (R),L 286,O 8
153,Friday Sep 20,MIA,L,4,6,,53-100,5,41,Sanchez,Dugger,Hudson,3:13,N,12775,0,--, WAS,Robert Dugger (R),Anibal Sanchez (R),L 208,O 9
152,Wednesday Sep 18,MIA,L,4,5,,53-99,5,39.5,Leake,Alcantara,Bradley,2:55,D,17731,0,-, @ ARI,Sandy Alcantara (R),Mike Leake (R),L 142,O 8.5
151,Tuesday Sep 17,MIA,W,12,6,,53-98,5,39.5,Smith,Andriese,,3:49,N,19745,0,+, @ ARI,Caleb Smith (L),Alex Young (L),W 160,O 9
150,Monday Sep 16,MIA,L,5,7,,52-98,5,40.5,Hirano,Guerrero,Ginkel,3:25,N,15897,0,--, @ ARI,Pablo Lopez (R),Robbie Ray (L),L 177,O 9
149,Sunday Sep 15,MIA,L,1,2,,52-97,5,40,Rogers,Garcia,Smith,2:51,D,39663,0,-, @ SF,Elieser Hernandez (R),Johnny Cueto (R),L 151,U 8
148,Saturday Sep 14,MIA,W,4,2,,52-96,5,40,Garcia,Anderson,Urena,2:56,N,38663,0,+, @ SF,Robert Dugger (R),Madison Bumgarner (L),W 223,U 8
147,Friday Sep 13,MIA,L,0,1,,51-96,5,40,Beede,Alcantara,Anderson,2:22,N,33418,0,-----, @ SF,Sandy Alcantara (R),Tyler Beede (R),L 147,U 8
146,Thursday Sep 12,MIA,L,2,3,,51-95,5,39,Peralta,Smith,Hader,2:59,D,7375,0,----, MIL,Caleb Smith (L),Gio Gonzalez (L),L 129,U 8
145,Wednesday Sep 11,MIA,L,5,7,,51-94,5,39,Suter,Urena,Hader,3:02,N,7815,0,---, MIL,Pablo Lopez (R),Zach Davies (R),L 123,O 8
144,Tuesday Sep 10,MIA,L,3,4,,51-93,5,38,Guerra,Conley,Pomeranz,3:20,N,7215,0,--, MIL,Elieser Hernandez (R),Chase Anderson (R),L 158,U 8.5
143,Monday Sep 9,MIA,L,3,8,,51-92,5,38,Albers,Dugger,,4:08,N,6672,0,-, MIL,Robert Dugger (R),Jordan Lyles (R),L 207,O 8.5
142,Sunday Sep 8,MIA,W,9,0,,51-91,5,37,Alcantara,Montgomery,,2:40,D,10934,0,+, KC,Sandy Alcantara (R),Mike Montgomery (L),W 101,O 8.5
141,Saturday Sep 7,MIA,L,2,7,,50-91,5,38,Duffy,Conley,Hill,3:24,N,13112,0,--, KC,Caleb Smith (L),Danny Duffy (L),L 102,O 8.5
140,Friday Sep 6,MIA,L,0,3,,50-90,5,37,Lopez,Lopez,Kennedy,2:52,N,8915,0,-, KC,Pablo Lopez (R),Jorge Lopez (R),L -119,U 8.5
139,Thursday Sep 5,MIA,W,10,7,,50-89,5,36,Moran,Agrazal,,3:38,N,9642,0,+, @ PIT,Elieser Hernandez (R),Dario Agrazal (R),W 137,O 9
138,Wednesday Sep 4,MIA,L-wo,5,6,,49-89,5,36,Wang,Urena,,2:59,N,9043,0,-, @ PIT,Robert Dugger (R),Trevor Williams (R),L 163,O 9
137,Tuesday Sep 3,MIA,W,5,4,10,49-88,5,35.5,Conley,Markel,Urena,3:24,N,9169,0,+, @ PIT,Sandy Alcantara (R),Mitch Keller (R),W 156,P 9
136,Sunday Sep 1,MIA,L,3,9,,48-88,5,35,Corbin,Smith,,2:46,D,29345,0,---, @ WAS,Caleb Smith (L),Patrick Corbin (L),L 265,O 8.5
135,Saturday Aug 31,MIA,L,0,7,,48-87,5,34,Strasburg,Lopez,,2:31,N,27539,0,--, @ WAS,Pablo Lopez (R),Stephen Strasburg (R),L 274,U 8.5
134,Friday Aug 30,MIA,L-wo,6,7,,48-86,5,33,Hudson,Stanek,,3:35,N,26201,0,-, @ WAS,Elieser Hernandez (R),Anibal Sanchez (R),L 217,O 10
133,Thursday Aug 29,MIA,W-wo,4,3,12,48-85,5,32,Kinley,Iglesias,,3:35,N,6466,0,+, CIN,Robert Dugger (R),Alex Wood (L),W 147,U 9
132,Wednesday Aug 28,MIA,L,0,5,,47-85,5,32.5,DeSclafani,Alcantara,,2:41,N,6409,0,---, CIN,Sandy Alcantara (R),Anthony DeSclafani (R),L 139,U 8
131,Tuesday Aug 27,MIA,L,5,8,,47-84,5,31.5,Castillo,Smith,Iglesias,3:24,N,6169,0,--, CIN,Caleb Smith (L),Luis Castillo (R),L 148,O 7
130,Monday Aug 26,MIA,L,3,6,,47-83,5,31.5,Gray,Lopez,,3:03,N,5297,0,-, CIN,Pablo Lopez (R),Sonny Gray (R),L 144,O 7.5
129,Sunday Aug 25,MIA,W,3,2,,47-82,5,31.5,Hernandez,Nola,Stanek,2:38,D,9286,0,+, PHI,Elieser Hernandez (R),Aaron Nola (R),W 178,U 8
128,Saturday Aug 24,MIA,L,3,9,,46-82,5,31.5,Eflin,Yamamoto,,3:37,N,12981,0,-, PHI,Jordan Yamamoto (R),Zach Eflin (R),L 122,O 9
127,Friday Aug 23,MIA,W,19,11,,46-81,5,30.5,Kinley,Pivetta,,4:10,N,9065,0,+, PHI,Hector Noesi (R),Vince Velasquez (R),W 150,O 9
126,Thursday Aug 22,MIA,L-wo,2,3,,45-81,5,30.5,Melancon,Stanek,,2:40,N,23967,0,------, @ ATL,Sandy Alcantara (R),Mike Soroka (R),L 262,U 9
