game,date,result and moneyline
162,Sunday Oct 3,W -107
161,Saturday Oct 2,W 118
160,Friday Oct 1,L -112
159,Thursday Sep 30,L -177
158,Wednesday Sep 29,W -170
157,Tuesday Sep 28,W -146
156,Sunday Sep 26,L 152
155,Saturday Sep 25,L 169
154,Friday Sep 24,W 141
153,Thursday Sep 23,W 128
152,Wednesday Sep 22,W -109
151,Tuesday Sep 21,W 109
150,Sunday Sep 19,L 197
149,Saturday Sep 18,L 151
148,Friday Sep 17,W 179
147,Wednesday Sep 15,L -109
146,Tuesday Sep 14 (2),W -127
145,Tuesday Sep 14 (1),L -120
144,Monday Sep 13,L 155
143,Sunday Sep 12,L -160
142,Saturday Sep 11,W -133
141,Friday Sep 10,L -132
140,Thursday Sep 9,L 148
139,Wednesday Sep 8,W 114
138,Tuesday Sep 7,W 117
137,Monday Sep 6,W -121
136,Sunday Sep 5,W 192
135,Saturday Sep 4,L 195
134,Friday Sep 3,L 174
133,Wednesday Sep 1,L -177
132,Tuesday Aug 31,L -151
131,Monday Aug 30,W -129
130,Sunday Aug 29,L 136
129,Saturday Aug 28,W 126
128,Friday Aug 27,W 115
127,Thursday Aug 26,L 233
126,Wednesday Aug 25,W 146
125,Tuesday Aug 24,L 198
124,Saturday Aug 21,L 223
123,Friday Aug 20,L 225
122,Thursday Aug 19,L 215
121,Wednesday Aug 18,W -109
120,Tuesday Aug 17,L -171
119,Monday Aug 16,W -123
118,Sunday Aug 15,W 135
117,Saturday Aug 14,W -106
116,Friday Aug 13,L 151
115,Wednesday Aug 11,W 129
114,Tuesday Aug 10,W 132
113,Monday Aug 9,L 191
112,Sunday Aug 8,W 164
111,Saturday Aug 7,L 214
110,Friday Aug 6,W 182
109,Thursday Aug 5,W 211
108,Wednesday Aug 4,L 209
107,Tuesday Aug 3,W 127
106,Sunday Aug 1,L 144
105,Saturday Jul 31,W 115
104,Friday Jul 30,L 141
103,Wednesday Jul 28,L -135
102,Tuesday Jul 27,L -180
101,Monday Jul 26,W -173
100,Sunday Jul 25,L -116
99,Saturday Jul 24,L -119
98,Friday Jul 23,W -108
97,Thursday Jul 22,L -117
96,Wednesday Jul 21,W 136
95,Tuesday Jul 20,L 127
94,Monday Jul 19 (2),L -114
93,Monday Jul 19 (1),W 199
92,Sunday Jul 18,L -127
91,Saturday Jul 17 (2),L -169
90,Saturday Jul 17 (1),L -125
89,Sunday Jul 11,W -234
88,Saturday Jul 10,W -183
87,Friday Jul 9,W -237
86,Thursday Jul 8,W -134
85,Wednesday Jul 7,L -103
84,Tuesday Jul 6,L 110
83,Monday Jul 5,W 114
82,Sunday Jul 4,W -135
81,Saturday Jul 3,L 111
80,Friday Jul 2,L -102
79,Thursday Jul 1,L 133
78,Wednesday Jun 30,L 111
77,Tuesday Jun 29,L 117
76,Sunday Jun 27,W -130
75,Friday Jun 25,W -126
74,Thursday Jun 24,L -185
73,Tuesday Jun 22,L -122
72,Monday Jun 21,W -101
71,Sunday Jun 20,W -122
70,Saturday Jun 19,W -106
69,Friday Jun 18,W -157
68,Wednesday Jun 16,W -131
67,Tuesday Jun 15,L -128
66,Monday Jun 14,L -141
65,Sunday Jun 13,L 139
64,Saturday Jun 12,W 104
63,Friday Jun 11,L 123
62,Thursday Jun 10,W 128
61,Wednesday Jun 9,L 171
60,Tuesday Jun 8,L 103
59,Sunday Jun 6,W 124
58,Saturday Jun 5,W -107
57,Friday Jun 4,L 121
56,Thursday Jun 3,L 104
55,Wednesday Jun 2,L -126
54,Tuesday Jun 1,L -161
53,Monday May 31,W -148
52,Sunday May 30,L -124
51,Saturday May 29,W -151
50,Friday May 28,L -158
49,Wednesday May 26,W -180
48,Tuesday May 25,W -185
47,Monday May 24,W 102
46,Sunday May 23,W 127
45,Saturday May 22,L 150
44,Friday May 21,W 113
43,Thursday May 20 (2),W -113
42,Thursday May 20 (1),L -100
41,Wednesday May 19,L 110
40,Tuesday May 18,W 133
39,Monday May 17,L -112
38,Sunday May 16,L -113
37,Saturday May 15,W -133
36,Friday May 14,L -102
35,Thursday May 13,L 114
34,Wednesday May 12,L 116
33,Tuesday May 11,L 102
32,Saturday May 8,L -178
31,Friday May 7,W -146
30,Thursday May 6,L -169
29,Wednesday May 5,L -174
28,Tuesday May 4,L -156
27,Monday May 3,W -185
26,Sunday May 2,W -202
25,Saturday May 1,L -139
24,Friday Apr 30,W -133
23,Wednesday Apr 28,W -122
22,Tuesday Apr 27,L -111
21,Monday Apr 26,L -123
20,Sunday Apr 25,L -183
19,Saturday Apr 24,L -205
18,Friday Apr 23,W -153
17,Wednesday Apr 21,L 101
16,Tuesday Apr 20 (2),L -118
15,Tuesday Apr 20 (1),L 105
14,Friday Apr 16,L 119
13,Thursday Apr 15,W -136
12,Wednesday Apr 14 (2),L -146
11,Wednesday Apr 14 (1),L -123
10,Tuesday Apr 13,L -118
9,Sunday Apr 11,L -183
8,Saturday Apr 10,L -189
7,Thursday Apr 8,W -211
6,Wednesday Apr 7,W -176
5,Tuesday Apr 6,L -143
4,Monday Apr 5,W -154
3,Sunday Apr 4,W 100
2,Saturday Apr 3,W 121
1,Thursday Apr 1,L -100
