game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,NYM,W-wo,7,6,11,86-76,3,11,Mazza,Dayton,,3:44,D,31523,0,+++, ATL,Noah Syndergaard (R),Mike Soroka (R),W -114,O 8
161,Saturday Sep 28,NYM,W,3,0,,85-76,3,12,Matz,Foltynewicz,Diaz,2:33,N,32210,0,++, ATL,Steven Matz (L),Mike Foltynewicz (R),W -105,U 9
160,Friday Sep 27,NYM,W,4,2,,84-76,3,13,Stroman,Keuchel,Lugo,3:09,N,26264,0,+, ATL,Marcus Stroman (R),Dallas Keuchel (L),W -112,U 8
159,Thursday Sep 26,NYM,L,2,4,,83-76,3,14,Brigham,Wheeler,Urena,2:45,N,21729,0,-, MIA,Zack Wheeler (R),Jordan Yamamoto (R),L -268,U 8
158,Wednesday Sep 25,NYM,W,10,3,,83-75,3,13.5,deGrom,Dugger,,2:48,N,21471,0.02,++, MIA,Jacob deGrom (R),Robert Dugger (R),W -468,O 7.5
157,Tuesday Sep 24,NYM,W-wo,5,4,11,82-75,3,13.5,Sewald,Conley,,3:51,N,21766,0.06,+, MIA,Noah Syndergaard (R),Sandy Alcantara (R),W -296,O 8
156,Monday Sep 23,NYM,L,4,8,,81-75,3,14.5,Smith,Matz,,3:25,N,21189,0.23,-, MIA,Steven Matz (L),Caleb Smith (L),L -256,O 8.5
155,Sunday Sep 22,NYM,W,6,3,,81-74,3,14,Brach,Bauer,Wilson,3:08,D,21335,0.21,+, @ CIN,Marcus Stroman (R),Trevor Bauer (R),W -145,P 9
154,Saturday Sep 21,NYM,L,2,3,,80-74,3,15,Kuhnel,Wilson,Iglesias,2:48,D,30487,0.55,-, @ CIN,Zack Wheeler (R),Anthony DeSclafani (R),L -145,U 9.5
153,Friday Sep 20,NYM,W,8,1,,80-73,3,14,deGrom,Castillo,,3:06,N,20576,0.45,+++, @ CIN,Jacob deGrom (R),Luis Castillo (R),W -180,O 8
152,Wednesday Sep 18,NYM,W,7,4,,79-73,3,13.5,Lugo,Diaz,,3:43,D,30174,0.2,++, @ COL,Noah Syndergaard (R),Jeff Hoffman (R),W -163,U 13
151,Tuesday Sep 17,NYM,W,6,1,,78-73,3,14.5,Stroman,Melville,,2:50,N,33118,0.14,+, @ COL,Marcus Stroman (R),Tim Melville (R),W -152,U 14
