game,date,result and moneyline
162,Sunday Oct 3,L 148
161,Saturday Oct 2,L 155
160,Friday Oct 1,W 125
159,Wednesday Sep 29,L 106
158,Tuesday Sep 28,L -109
157,Monday Sep 27,L 111
156,Sunday Sep 26,W 104
155,Saturday Sep 25,W -102
154,Friday Sep 24,W -117
153,Thursday Sep 23,L -171
152,Wednesday Sep 22,L -152
151,Tuesday Sep 21,L -136
150,Monday Sep 20,L -171
149,Sunday Sep 19,W -125
148,Saturday Sep 18,W -115
147,Friday Sep 17,W -131
146,Thursday Sep 16,W -118
145,Wednesday Sep 15,W -134
144,Tuesday Sep 14,L -151
143,Sunday Sep 12,L -177
142,Saturday Sep 11,L -200
141,Friday Sep 10,W -174
140,Thursday Sep 9,W -138
139,Wednesday Sep 8,W -153
138,Tuesday Sep 7,L -127
137,Sunday Sep 5,L 184
136,Saturday Sep 4,L 158
135,Friday Sep 3,L 137
134,Thursday Sep 2,W -204
133,Wednesday Sep 1,L -176
132,Tuesday Aug 31,W -111
131,Sunday Aug 29,W 143
130,Saturday Aug 28,W -124
129,Friday Aug 27,L 150
128,Thursday Aug 26,L 105
127,Tuesday Aug 24,L -151
126,Monday Aug 23,L -138
125,Sunday Aug 22,L 100
124,Saturday Aug 21,L 103
123,Friday Aug 20,W 102
122,Thursday Aug 19,W 137
121,Wednesday Aug 18,L 182
120,Tuesday Aug 17,L -110
119,Monday Aug 16,L -118
118,Sunday Aug 15,L -227
117,Saturday Aug 14,W -227
116,Friday Aug 13,L -155
115,Thursday Aug 12,W -174
114,Wednesday Aug 11,W -154
113,Tuesday Aug 10,W -143
112,Sunday Aug 8,W -257
111,Saturday Aug 7,W -238
110,Friday Aug 6,W -319
109,Wednesday Aug 4,W -121
108,Tuesday Aug 3,L -158
107,Sunday Aug 1,W 106
106,Saturday Jul 31,L -147
105,Friday Jul 30,W -114
104,Thursday Jul 29,W -148
103,Wednesday Jul 28,W 118
102,Tuesday Jul 27,L 138
101,Sunday Jul 25,L -129
100,Saturday Jul 24,L -108
99,Friday Jul 23,L -119
98,Thursday Jul 22,W -143
97,Tuesday Jul 20,W -151
96,Monday Jul 19,W -117
95,Sunday Jul 18,L -169
94,Saturday Jul 17,L -172
93,Friday Jul 16,W -184
92,Sunday Jul 11,W -140
91,Saturday Jul 10,W -128
90,Friday Jul 9,L -123
89,Thursday Jul 8,W 156
88,Wednesday Jul 7,L 144
87,Tuesday Jul 6,L 145
86,Sunday Jul 4,L -109
85,Saturday Jul 3,W -135
84,Friday Jul 2,L 101
83,Thursday Jul 1,L -180
82,Wednesday Jun 30,W -187
81,Tuesday Jun 29,L -195
80,Sunday Jun 27,W 144
79,Saturday Jun 26,L 111
78,Friday Jun 25,L -108
77,Thursday Jun 24,W -141
76,Wednesday Jun 23,L -141
75,Tuesday Jun 22,W -129
74,Monday Jun 21,L -116
73,Sunday Jun 20,L 128
72,Saturday Jun 19,L 111
71,Friday Jun 18,W 126
70,Wednesday Jun 16,W -118
69,Tuesday Jun 15,W -124
68,Monday Jun 14,W -141
67,Sunday Jun 13,W -186
66,Saturday Jun 12,W -151
65,Friday Jun 11,W -128
64,Thursday Jun 10,L -147
63,Wednesday Jun 9,W -184
62,Tuesday Jun 8,W -237
61,Sunday Jun 6,L -102
60,Saturday Jun 5,W -130
59,Friday Jun 4,W -142
58,Wednesday Jun 2,W -153
57,Tuesday Jun 1,W -151
56,Monday May 31,L -133
55,Sunday May 30,L -132
54,Saturday May 29,L -137
53,Friday May 28,W -146
52,Thursday May 27,W -198
51,Wednesday May 26,W -179
50,Tuesday May 25,L -167
49,Monday May 24,L -181
48,Sunday May 23,L -120
47,Saturday May 22,W -129
46,Friday May 21,W 101
45,Thursday May 20,L 106
44,Wednesday May 19,L 104
43,Tuesday May 18,W 107
42,Sunday May 16,W 104
41,Saturday May 15,L 123
40,Friday May 14,W -106
39,Thursday May 13,L -100
38,Wednesday May 12,W 134
37,Tuesday May 11,W 112
36,Sunday May 9,L -114
35,Saturday May 8,W 119
34,Friday May 7,W -124
33,Thursday May 6,L 123
32,Wednesday May 5,L -131
31,Tuesday May 4,W -120
30,Monday May 3,W -113
29,Sunday May 2,W -197
28,Saturday May 1,L -178
27,Friday Apr 30,L -129
26,Thursday Apr 29,W 102
25,Wednesday Apr 28,L 158
24,Tuesday Apr 27,L 100
23,Monday Apr 26,W -108
22,Sunday Apr 25,L -121
21,Saturday Apr 24,W -156
20,Friday Apr 23,W -125
19,Wednesday Apr 21,W -109
18,Tuesday Apr 20 (2),W 109
17,Tuesday Apr 20 (1),W -114
16,Sunday Apr 18,W -151
15,Saturday Apr 17,W -129
14,Friday Apr 16,W -189
13,Thursday Apr 15,W -181
12,Tuesday Apr 13,W -104
11,Monday Apr 12,W -122
10,Saturday Apr 10,W 134
9,Friday Apr 9,W 161
8,Thursday Apr 8,L 149
7,Wednesday Apr 7,W 150
6,Tuesday Apr 6,L 156
5,Monday Apr 5,L 144
4,Sunday Apr 4,L -115
3,Saturday Apr 3,L 115
2,Friday Apr 2,L -123
1,Thursday Apr 1,L -107
