game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,PHI,L,3,4,,81-81,4,16,Alcantara,Parker,Kinley,2:50,D,31805,0,-, MIA,Blake Parker (R),Sandy Alcantara (R),L -167,U 9
161,Saturday Sep 28,PHI,W,9,3,,81-80,4,16,Eflin,Smith,,3:06,N,25156,0,++, MIA,Zach Eflin (R),Caleb Smith (L),W -182,O 9
160,Friday Sep 27,PHI,W-wo,5,4,15,80-80,4,17,Suarez,Conley,,5:13,N,24143,0,+, MIA,Vince Velasquez (R),Pablo Lopez (R),W -187,P 9
159,Thursday Sep 26,PHI,L,3,6,,79-80,4,18,Strasburg,Vargas,Hudson,3:26,D,22253,0,------, @ WAS,Jason Vargas (L),Stephen Strasburg (R),L 223,P 9
158,Wednesday Sep 25,PHI,L,2,5,,79-79,4,17.5,Sanchez,Morin,Doolittle,2:45,N,22091,0,-----, @ WAS,Drew Smyly (L),Anibal Sanchez (R),L 147,U 10
157,Tuesday Sep 24 (2),PHI,L,5,6,,79-78,4,16.5,Scherzer,Nola,Hudson,3:06,N,22214,0,----, @ WAS,Aaron Nola (R),Max Scherzer (R),L 208,O 7.5
156,Tuesday Sep 24 (1),PHI,L,1,4,,79-77,4,16.5,Rainey,Vincent,Hudson,3:07,D,23442,0.01,---, @ WAS,Blake Parker (R),Joe Ross (R),L 146,U 10.5
155,Monday Sep 23,PHI,L,2,7,,79-76,4,16,Corbin,Eflin,,3:19,N,19788,0.09,--, @ WAS,Zach Eflin (R),Patrick Corbin (L),L 190,P 9
154,Sunday Sep 22,PHI,L,1,10,,79-75,4,15.5,Carrasco,Velasquez,,3:04,N,25309,0.12,-, @ CLE,Vince Velasquez (R),Adam Plutko (R),L 115,O 10.5
153,Saturday Sep 21,PHI,W,9,4,,79-74,4,15.5,Vargas,Perez,,3:17,N,32791,0.11,+, @ CLE,Jason Vargas (L),Zach Plesac (R),W 136,O 10.5
152,Friday Sep 20,PHI,L,2,5,,78-74,4,15.5,Bieber,Smyly,Carrasco,3:01,N,26329,0.28,--, @ CLE,Drew Smyly (L),Shane Bieber (R),L 179,U 9
151,Thursday Sep 19,PHI,L,4,5,,78-73,4,14.5,Soroka,Nola,Melancon,3:10,D,33223,0.46,-, @ ATL,Aaron Nola (R),Mike Soroka (R),L 130,O 8
150,Wednesday Sep 18,PHI,W,4,1,,78-72,3,13.5,Eflin,Teheran,Neris,2:59,N,27937,0.23,++, @ ATL,Zach Eflin (R),Julio Teheran (R),W 143,U 10.5
149,Tuesday Sep 17,PHI,W,5,4,,77-72,3,14.5,Velasquez,Keuchel,Neris,3:26,N,28843,0.18,+, @ ATL,Vince Velasquez (R),Dallas Keuchel (L),W 173,U 10
148,Sunday Sep 15,PHI,L,3,6,,76-72,4,15.5,Porcello,Vargas,Workman,2:57,D,39061,0.42,--, BOS,Jason Vargas (L),Rick Porcello (R),L -101,U 10.5
147,Saturday Sep 14,PHI,L,1,2,,76-71,4,15.5,Barnes,Neris,Workman,3:21,N,40688,0.69,-, BOS,Aaron Nola (R),Eduardo Rodriguez (L),L -118,U 8.5
146,Thursday Sep 12,PHI,W,9,5,,76-70,3,14,Hughes,Teheran,Neris,3:35,N,27022,0.64,+, ATL,Drew Smyly (L),Julio Teheran (R),W 112,O 9.5
145,Wednesday Sep 11,PHI,L,1,3,,75-70,3,15,Keuchel,Eflin,Melancon,3:31,N,23243,0.83,-, ATL,Zach Eflin (R),Dallas Keuchel (L),L 132,U 10
144,Tuesday Sep 10,PHI,W,6,5,,75-69,3,14,Parker,Fried,Neris,3:06,N,24220,0.64,+, ATL,Jason Vargas (L),Max Fried (L),W 162,O 10.5
143,Monday Sep 9,PHI,L,2,7,,74-69,3,15,Foltynewicz,Nola,,2:47,N,25071,0.87,-, ATL,Aaron Nola (R),Mike Foltynewicz (R),L -135,P 9
142,Sunday Sep 8,PHI,W,10,7,,74-68,3,14,Suarez,Sewald,Neris,4:29,D,30264,0.75,++, @ NYM,Vince Velasquez (R),Noah Syndergaard (R),W 170,O 8.5
141,Saturday Sep 7,PHI,W,5,0,,73-68,3,15,Smyly,Stroman,,2:59,N,28848,0.56,+, @ NYM,Drew Smyly (L),Marcus Stroman (R),W 145,U 8.5
140,Friday Sep 6,PHI,L-wo,4,5,,72-68,3,15,Diaz,Morin,,3:32,N,28107,0.65,---, @ NYM,Zach Eflin (R),Steven Matz (L),L 144,O 8.5
139,Thursday Sep 5,PHI,L-wo,3,4,11,72-67,3,14,Bowman,Vincent,,3:36,D,13230,0.77,--, @ CIN,Jason Vargas (L),Sonny Gray (R),L 132,U 9
138,Wednesday Sep 4,PHI,L,5,8,,72-66,3,13,Lorenzen,Alvarez,Iglesias,3:02,N,13448,0.9,-, @ CIN,Aaron Nola (R),Trevor Bauer (R),L -154,O 9
137,Tuesday Sep 3,PHI,W,6,2,,72-65,3,12.5,Vincent,Garrett,,3:16,N,11452,0.86,+++, @ CIN,Vince Velasquez (R),Lucas Sims (R),W -112,U 10
136,Monday Sep 2,PHI,W,7,1,,71-65,3,12.5,Smyly,DeSclafani,,2:40,D,19631,0.75,++, @ CIN,Drew Smyly (L),Anthony DeSclafani (R),W 124,U 10
135,Sunday Sep 1,PHI,W,5,2,,70-65,3,12.5,Neris,Zamora,,2:52,N,33492,0.66,+, NYM,Zach Eflin (R),Marcus Stroman (R),W 107,U 9.5
134,Saturday Aug 31,PHI,L,3,6,,69-65,3,12.5,Matz,Vargas,Lugo,3:41,D,40690,0.82,--, NYM,Jason Vargas (L),Steven Matz (L),L 103,U 10
133,Friday Aug 30,PHI,L,5,11,,69-64,3,11.5,Wilson,Morin,,3:28,N,30503,1.04,-, NYM,Aaron Nola (R),Zack Wheeler (R),L -146,O 9
132,Wednesday Aug 28,PHI,W,12,3,,69-63,3,10.5,Velasquez,Keller,,3:20,N,24224,0.92,+, PIT,Vince Velasquez (R),Mitch Keller (R),W -150,O 9.5
131,Tuesday Aug 27,PHI,L,4,5,,68-63,3,10.5,Vazquez,Neris,,3:19,N,26200,1,-, PIT,Drew Smyly (L),Steven Brault (L),L -141,U 10
130,Monday Aug 26,PHI,W-wo,6,5,11,68-62,3,10.5,Morin,Feliz,,3:57,N,27932,0.89,+, PIT,Jason Vargas (L),Joe Musgrove (R),W -143,O 9
129,Sunday Aug 25,PHI,L,2,3,,67-62,3,11.5,Hernandez,Nola,Stanek,2:38,D,9286,0.99,-, @ MIA,Aaron Nola (R),Elieser Hernandez (R),L -194,U 8
128,Saturday Aug 24,PHI,W,9,3,,67-61,3,10.5,Eflin,Yamamoto,,3:37,N,12981,0.89,+, @ MIA,Zach Eflin (R),Jordan Yamamoto (R),W -132,O 9
127,Friday Aug 23,PHI,L,11,19,,66-61,4,10.5,Kinley,Pivetta,,4:10,N,9065,1,-, @ MIA,Vince Velasquez (R),Hector Noesi (R),L -163,O 9
126,Wednesday Aug 21,PHI,W,5,2,,66-60,3,9,Hughes,Porcello,Neris,3:39,N,37077,1.06,++, @ BOS,Drew Smyly (L),Rick Porcello (R),W 145,U 12.5
125,Tuesday Aug 20,PHI,W,3,2,,65-60,3,9,Nola,Johnson,Neris,3:17,N,37712,0.96,+, @ BOS,Aaron Nola (R),Brian Johnson (L),W 101,U 11
124,Sunday Aug 18,PHI,L,2,3,,64-60,3,9,Lucchesi,Hughes,Yates,3:21,D,36210,1.18,--, SD,Jason Vargas (L),Joey Lucchesi (L),L -123,U 10.5
123,Saturday Aug 17,PHI,L,3,5,,64-59,3,8,Lamet,Pivetta,Yates,3:16,N,31332,1.28,-, SD,Zach Eflin (R),Dinelson Lamet (R),L -108,U 9.5
122,Friday Aug 16,PHI,W,8,4,,64-58,3,7,Velasquez,Paddack,,3:20,N,26084,1.18,++++, SD,Vince Velasquez (R),Chris Paddack (R),W -110,O 9
121,Thursday Aug 15,PHI,W-wo,7,5,,63-58,3,8,Suarez,Strop,,3:13,N,37064,1.16,+++, CHC,Drew Smyly (L),Yu Darvish (R),W 128,O 9.5
120,Wednesday Aug 14,PHI,W,11,1,,62-58,3,9,Nola,Hamels,,2:45,N,27204,1.04,++, CHC,Aaron Nola (R),Cole Hamels (L),W -116,O 9
119,Tuesday Aug 13,PHI,W,4,2,,61-58,3,9,Parker,Ryan,Neris,3:16,N,26442,0.91,+, CHC,Jason Vargas (L),Jose Quintana (L),W 121,U 10
118,Sunday Aug 11,PHI,L,6,9,,60-58,4,9,Smith,Alvarez,,3:31,D,36637,1.07,--, @ SF,Jake Arrieta (R),Conner Menez (L),L -126,O 9.5
117,Saturday Aug 10,PHI,L,1,3,,60-57,4,8,Samardzija,Velasquez,Smith,2:32,D,39106,1.14,-, @ SF,Vince Velasquez (R),Jeff Samardzija (R),L -107,U 8.5
116,Friday Aug 9,PHI,W,9,6,,60-56,3,8,Alvarez,Watson,Neris,3:05,N,36275,1.1,+, @ SF,Drew Smyly (L),Tyler Beede (R),W -129,O 8.5
115,Thursday Aug 8,PHI,L,0,5,,59-56,3,8,Bumgarner,Nola,,2:49,N,37667,1.15,---, @ SF,Aaron Nola (R),Madison Bumgarner (L),L -106,U 7.5
114,Wednesday Aug 7,PHI,L,1,6,,59-55,3,8,Gallen,Vargas,,3:10,N,18140,1.38,--, @ ARI,Jason Vargas (L),Zac Gallen (R),L 135,U 9.5
113,Tuesday Aug 6,PHI,L,4,8,,59-54,3,7,Chafin,Suarez,,3:19,N,17446,1.44,-, @ ARI,Jake Arrieta (R),Mike Leake (R),L 120,O 9.5
112,Monday Aug 5,PHI,W,7,3,,59-53,2,6,Velasquez,Kelly,,3:05,N,18319,1.37,+, @ ARI,Vince Velasquez (R),Merrill Kelly (R),W 106,O 9.5
111,Sunday Aug 4,PHI,L,5,10,,58-53,2,7,Lopez,Smyly,,3:08,D,31562,1.27,-, CHW,Drew Smyly (L),Reynaldo Lopez (R),L -153,O 9
110,Saturday Aug 3,PHI,W,3,2,,58-52,2,7,Nola,Detwiler,Pivetta,3:05,N,32647,1.22,+, CHW,Aaron Nola (R),Ross Detwiler (L),W -290,U 9
109,Friday Aug 2,PHI,L,3,4,15,57-52,3,7,Osich,Quinn,,5:28,N,26635,1.26,-, CHW,Jason Vargas (L),Ivan Nova (R),L -170,U 10
108,Thursday Aug 1,PHI,W,10,2,,57-51,2,7,Alvarez,Rodriguez,,3:04,D,28524,1.37,+, SF,Jake Arrieta (R),Dereck Rodriguez (R),W -158,O 10.5
107,Wednesday Jul 31,PHI,L,1,5,,56-51,3,7,Samardzija,Velasquez,,3:02,N,31313,1.45,-, SF,Vince Velasquez (R),Jeff Samardzija (R),L -131,U 9.5
