game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,PIT,L,1,3,,69-93,5,22,Mahle,Williams,Lorenzen,2:43,D,23617,0,--, CIN,Trevor Williams (R),Tyler Mahle (R),L 106,U 8.5
161,Saturday Sep 28,PIT,L,2,4,12,69-92,5,21,Alaniz,McRae,,4:27,N,21084,0,-, CIN,James Marvel (R),Lucas Sims (R),L 130,U 9
160,Friday Sep 27,PIT,W-wo,6,5,,69-91,5,21,Rios,Iglesias,,3:13,N,18544,0,++++, CIN,Steven Brault (L),Anthony DeSclafani (R),W 137,O 8.5
159,Thursday Sep 26,PIT,W,9,5,,68-91,5,22,Musgrove,Quintana,,3:15,N,10529,0,+++, CHC,Joe Musgrove (R),Jose Quintana (L),W -107,O 7.5
158,Wednesday Sep 25,PIT,W,4,2,,67-91,5,22.5,Feliz,Wieck,Kela,2:54,N,10592,0,++, CHC,Dario Agrazal (R),Jon Lester (L),W 183,U 9.5
157,Tuesday Sep 24,PIT,W,9,2,,66-91,5,23.5,Liriano,Hendricks,,3:10,N,9989,0,+, CHC,Mitch Keller (R),Kyle Hendricks (R),W 170,O 8.5
156,Sunday Sep 22,PIT,L,3,4,,65-91,5,24,Gonzalez,Williams,Hader,2:54,D,43321,0,---------, @ MIL,Trevor Williams (R),Brandon Woodruff (R),L 260,U 9
155,Saturday Sep 21,PIT,L,1,10,,65-90,5,23,Suter,Marvel,,3:10,N,42888,0,--------, @ MIL,James Marvel (R),Zach Davies (R),L 228,O 9
154,Friday Sep 20,PIT,L,1,10,,65-89,5,22,Anderson,Brault,,2:59,N,43390,0,-------, @ MIL,Steven Brault (L),Chase Anderson (R),L 200,O 9
153,Thursday Sep 19,PIT,L,5,6,11,65-88,5,21,Brennan,Holmes,Swanson,4:16,D,12543,0,------, SEA,Joe Musgrove (R),Yusei Kikuchi (L),L -134,O 8.5
152,Wednesday Sep 18,PIT,L,1,4,,65-87,5,20,Milone,Agrazal,Magill,2:47,N,9875,0,-----, SEA,Dario Agrazal (R),Justin Dunn (R),L -106,U 9
