game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Oct 3,SDP,L,4,11,,79-83,3,28,Webb,Knehr,,2:56,D,36901,0,-,†@ SF,Reiss Knehr†(R),Logan Webb†(R),L†198,O†8.5
161,Saturday Oct 2,SDP,W,3,2,10,79-82,3,27,Hill,Castro,Melancon,3:41,D,40760,0,+,†@ SF,Joe Musgrove†(R),Kevin Gausman†(R),W†133,U†7.5
160,Friday Oct 1,SDP,L,0,3,,78-82,3,28,DeSclafani,Avila,Doval,2:50,N,33975,0,-------,†@ SF,Pedro Avila†(R),Anthony DeSclafani†(R),L†175,U†9
159,Thursday Sep 30,SDP,L,3,8,,78-81,3,27,Knebel,Velasquez,,2:55,N,52550,0,------,†@ LAD,Vince Velasquez†(R),Tony Gonsolin†(R),L†206,O†9
158,Wednesday Sep 29,SDP,L,9,11,,78-80,3,26,Price,Pagan,Jansen,3:34,N,45366,0,-----,†@ LAD,Ryan Weathers†(L),Max Scherzer†(R),L†261,O†8
157,Tuesday Sep 28,SDP,L,1,2,,78-79,3,25,Buehler,Darvish,Treinen,3:04,N,52128,0,----,†@ LAD,Yu Darvish†(R),Walker Buehler†(R),L†171,U†7.5
156,Sunday Sep 26,SDP,L,3,4,,78-78,3,24,Minter,Johnson,Smith,3:48,D,41294,0,---,†ATL,Joe Musgrove†(R),Jesse Chavez†(R),L†-123,U†8
155,Saturday Sep 25,SDP,L,8,10,10,78-77,3,23,Rodriguez,Hudson,Smith,4:07,D,39026,0,--,†ATL,Vince Velasquez†(R),Huascar Ynoa†(R),L†105,O†9
154,Friday Sep 24,SDP,L,0,4,,78-76,3,22,Fried,Knehr,,2:28,N,33265,0.02,-,†ATL,Reiss Knehr†(R),Max Fried†(L),L†116,U†8.5
153,Thursday Sep 23,SDP,W-wo,7,6,10,78-75,3,21,Detwiler,Leone,,4:10,D,31049,0.03,+,†SF,Yu Darvish†(R),Logan Webb†(R),W†103,O†7.5
152,Wednesday Sep 22,SDP,L,6,8,,77-75,3,22,Doval,Velasquez,,3:56,N,38189,0.13,-----,†SF,Vince Velasquez†(R),Scott Kazmir†(L),L†-111,O†9.5
151,Tuesday Sep 21,SDP,L,5,6,,77-74,3,21,Watson,Melancon,Rogers,3:45,N,36439,0.33,----,†SF,Joe Musgrove†(R),Kevin Gausman†(R),L†-110,O†7.5
150,Sunday Sep 19,SDP,L,7,8,,77-73,3,20,Reyes,Arrieta,Gallegos,3:16,D,35326,1.24,---,†@ STL,Jake Arrieta†(R),J.A. Happ†(L),L†-101,O†9
149,Saturday Sep 18,SDP,L,2,3,,77-72,3,20,Miller,Pagan,Gallegos,2:59,N,40626,1.52,--,†@ STL,Yu Darvish†(R),Adam Wainwright†(R),L†109,U†7.5
148,Friday Sep 17,SDP,L,2,8,,77-71,3,19,Mikolas,Velasquez,,3:13,N,30937,1.84,-,†@ STL,Vince Velasquez†(R),Miles Mikolas†(R),L†107,O†9
147,Thursday Sep 16,SDP,W,7,4,,77-70,3,18,Crismatt,Gausman,,3:39,D,23379,1.09,++,†@ SF,Pierce Johnson†(R),Kevin Gausman†(R),W†159,O†8
146,Wednesday Sep 15,SDP,W,9,6,,76-70,3,19,Musgrove,Leone,,4:06,N,21212,0.96,+,†@ SF,Joe Musgrove†(R),Dominic Leone†(R),W†-106,O†8
145,Tuesday Sep 14,SDP,L,1,6,,75-70,3,20,DeSclafani,Arrieta,,3:17,N,23192,1.06,-----,†@ SF,Jake Arrieta†(R),Anthony DeSclafani†(R),L†175,U†9
144,Monday Sep 13,SDP,L,1,9,,75-69,3,19,Littell,Darvish,,2:51,N,21078,1.16,----,†@ SF,Yu Darvish†(R),Dominic Leone†(R),L†-106,O†8
143,Sunday Sep 12,SDP,L,0,8,,75-68,3,18,Scherzer,Lamet,,2:45,D,42637,1.22,---,†@ LAD,Blake Snell†(L),Max Scherzer†(R),L†145,O†7.5
142,Saturday Sep 11,SDP,L,4,5,,75-67,3,17,Buehler,Paddack,Jansen,3:02,N,46969,1.19,--,†@ LAD,Chris Paddack†(R),Walker Buehler†(R),L†194,O†8
141,Friday Sep 10,SDP,L,0,3,,75-66,3,16,Urias,Musgrove,Jansen,2:53,N,48403,1.23,-,†@ LAD,Joe Musgrove†(R),Julio Urias†(L),L†139,U†8
140,Wednesday Sep 8,SDP,W,8,5,,75-65,3,15,Darvish,Mayers,Melancon,3:31,N,34537,1.13,+,†LAA,Yu Darvish†(R),Mike Mayers†(R),W†-277,O†8
139,Tuesday Sep 7,SDP,L,0,4,,74-65,3,15,Herget,Snell,,2:53,N,34405,1.15,-,†LAA,Blake Snell†(L),Packy Naughton†(L),L†-303,U†7.5
138,Sunday Sep 5,SDP,W-wo,4,3,,74-64,3,13.5,Melancon,Stanek,,2:58,D,35007,1.08,++,†HOU,Chris Paddack†(R),Luis Garcia†(R),W†-104,U†8.5
137,Saturday Sep 4,SDP,W,10,2,,73-64,3,13.5,Musgrove,Valdez,,3:21,N,35338,0.95,+,†HOU,Joe Musgrove†(R),Framber Valdez†(L),W†-111,O†7.5
136,Friday Sep 3,SDP,L,3,6,,72-64,3,14.5,Taylor,Pagan,Pressly,3:37,N,37033,0.98,--,†HOU,Jake Arrieta†(R),Jose Urquidy†(R),L†110,P†9
135,Wednesday Sep 1,SDP,L,3,8,,72-63,3,13.5,Weaver,Darvish,,3:16,D,5945,1.01,-,†@ ARI,Yu Darvish†(R),Luke Weaver†(R),L†-213,O†9
134,Tuesday Aug 31,SDP,W,3,0,,72-62,3,13,Snell,Gallen,Melancon,3:05,N,10818,0.98,++,†@ ARI,Blake Snell†(L),Zac Gallen†(R),W†-167,U†8
133,Monday Aug 30,SDP,W,7,5,,71-62,3,14,Stammen,Gilbert,Melancon,3:35,N,8482,0.84,+,†@ ARI,Chris Paddack†(R),Tyler Gilbert†(L),W†-175,O†9.5
132,Saturday Aug 28,SDP,L,2,10,,70-62,3,15.5,Wantz,Weathers,,3:35,N,36176,0.75,-,†@ LAA,Ryan Weathers†(L),Jose Suarez†(L),L†-126,O†10
