game,date,result and moneyline
162,Sunday Oct 3,L -168
161,Saturday Oct 2,W -180
160,Friday Oct 1,L -159
159,Wednesday Sep 29,W -115
158,Tuesday Sep 28,W 101
157,Monday Sep 27,W -120
156,Sunday Sep 26,W 124
155,Saturday Sep 25,L -147
154,Friday Sep 24,W -133
153,Thursday Sep 23,W 157
152,Wednesday Sep 22,W 140
151,Tuesday Sep 21,W 125
150,Monday Sep 20,W 157
149,Sunday Sep 19,W -114
148,Saturday Sep 18,L 106
147,Friday Sep 17,W -110
146,Wednesday Sep 15,L 121
145,Tuesday Sep 14,L 127
144,Monday Sep 13,W 114
143,Sunday Sep 12,L -165
142,Saturday Sep 11,L -171
141,Friday Sep 10,W -149
140,Wednesday Sep 8,W 155
139,Tuesday Sep 7,L 150
138,Monday Sep 6,L 192
137,Sunday Sep 5,W -124
136,Saturday Sep 4,W -130
135,Friday Sep 3,W -104
134,Wednesday Sep 1,W 121
133,Tuesday Aug 31,W 146
132,Monday Aug 30,L 142
131,Sunday Aug 29,W -150
130,Saturday Aug 28,L -153
129,Friday Aug 27,L -179
128,Thursday Aug 26,L -166
127,Tuesday Aug 24,W 139
126,Monday Aug 23,W 127
125,Sunday Aug 22,W 174
124,Saturday Aug 21,L 131
123,Friday Aug 20,L 162
122,Thursday Aug 19,W -132
121,Wednesday Aug 18,W -155
120,Tuesday Aug 17,W -130
119,Sunday Aug 15,L 103
118,Saturday Aug 14,W 132
117,Friday Aug 13,W 146
116,Thursday Aug 12,W -216
115,Wednesday Aug 11,W -202
114,Tuesday Aug 10,L -209
113,Sunday Aug 8,W 127
112,Saturday Aug 7,L 171
111,Friday Aug 6,L 152
110,Thursday Aug 5,L 173
109,Wednesday Aug 4,L 138
108,Tuesday Aug 3,W 138
107,Monday Aug 2,W 177
106,Sunday Aug 1,L -144
105,Saturday Jul 31,L -130
104,Friday Jul 30,W -155
103,Wednesday Jul 28,L 103
102,Tuesday Jul 27,L 150
101,Monday Jul 26,W 149
100,Sunday Jul 25,W 119
99,Saturday Jul 24,W -100
98,Friday Jul 23,W 110
97,Thursday Jul 22,L 131
96,Wednesday Jul 21,L 126
95,Tuesday Jul 20,W 156
94,Sunday Jul 18,W 124
93,Saturday Jul 17,L 126
92,Friday Jul 16,W 142
91,Sunday Jul 11,L -113
90,Saturday Jul 10,W 101
89,Friday Jul 9,W 112
88,Thursday Jul 8,W 125
87,Wednesday Jul 7,L -116
86,Tuesday Jul 6,L 152
85,Sunday Jul 4,W -143
84,Saturday Jul 3,L -161
83,Friday Jul 2,W -119
82,Thursday Jul 1,W 170
81,Wednesday Jun 30,W 218
80,Tuesday Jun 29,L 204
79,Sunday Jun 27,L 168
78,Saturday Jun 26,W 166
77,Friday Jun 25,W 172
76,Wednesday Jun 23,L 102
75,Tuesday Jun 22,W -161
74,Sunday Jun 20,W 145
73,Saturday Jun 19,W 132
72,Friday Jun 18,W -104
71,Thursday Jun 17,W 155
70,Wednesday Jun 16,L 121
69,Tuesday Jun 15,W 118
68,Monday Jun 14,W 130
67,Sunday Jun 13,W 207
66,Saturday Jun 12,L 103
65,Friday Jun 11,L 142
64,Thursday Jun 10,L 104
63,Wednesday Jun 9,W 114
62,Tuesday Jun 8,L 125
61,Sunday Jun 6,W 143
60,Saturday Jun 5,L 139
59,Friday Jun 4,L 147
58,Thursday Jun 3,W 143
57,Wednesday Jun 2,L 140
56,Tuesday Jun 1,L 139
55,Monday May 31,W 122
54,Sunday May 30,W -146
53,Saturday May 29,W -102
52,Friday May 28,W -121
51,Thursday May 27,W -106
50,Wednesday May 26,L 164
49,Tuesday May 25,W 153
48,Monday May 24,W 165
47,Sunday May 23,L 253
46,Saturday May 22,L 176
45,Friday May 21,L 195
44,Wednesday May 19,L -146
43,Tuesday May 18,L -110
42,Monday May 17,L -173
41,Sunday May 16,W 183
40,Saturday May 15,W 102
39,Friday May 14,W 106
38,Thursday May 13,L 108
37,Wednesday May 12,L 237
36,Tuesday May 11,L 197
35,Sunday May 9,L 123
34,Saturday May 8,L -103
33,Friday May 7,W 113
32,Wednesday May 5,L -111
31,Tuesday May 4,W -118
30,Monday May 3,L -123
29,Sunday May 2,W 142
28,Saturday May 1,L 124
27,Friday Apr 30,W 139
26,Thursday Apr 29,W 145
25,Wednesday Apr 28,L 189
24,Tuesday Apr 27,L 174
23,Monday Apr 26,L 156
22,Sunday Apr 25,L 168
21,Saturday Apr 24,W 177
20,Friday Apr 23,L 127
19,Thursday Apr 22,W 158
18,Tuesday Apr 20,L 168
17,Monday Apr 19,W 186
16,Sunday Apr 18,W 116
15,Saturday Apr 17,L 117
14,Friday Apr 16,W -101
13,Thursday Apr 15 (2),W 125
12,Thursday Apr 15 (1),W -105
11,Tuesday Apr 13 (2),L 115
10,Tuesday Apr 13 (1),W 123
9,Sunday Apr 11,W 167
8,Saturday Apr 10,W 173
7,Thursday Apr 8,L 191
6,Wednesday Apr 7,W 132
5,Tuesday Apr 6,L 134
4,Monday Apr 5,L 116
3,Saturday Apr 3,W 105
2,Friday Apr 2,L -114
1,Thursday Apr 1,W 106
