game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,SFG,L,0,9,,77-85,3,29,May,Rodriguez,,3:23,D,41909,0,---, LAD,Dereck Rodriguez (R),Rich Hill (L),L 151,O 8.5
161,Saturday Sep 28,SFG,L,0,2,,77-84,3,28,Ryu,Webb,Jansen,2:40,D,37518,0,--, LAD,Logan Webb (R),Hyun Jin Ryu (L),L 194,U 8
160,Friday Sep 27,SFG,L,2,9,,77-83,3,27,Buehler,Cueto,,3:42,N,36554,0,-, LAD,Johnny Cueto (R),Walker Buehler (R),L 174,O 7.5
159,Thursday Sep 26,SFG,W,8,3,,77-82,3,26,Coonrod,Tinoco,,3:21,D,30350,0,++, COL,Tyler Beede (R),Kyle Freeland (L),W -121,O 8.5
158,Wednesday Sep 25,SFG,W-wo,2,1,,76-82,3,26,Smith,Johnson,,3:13,N,29175,0,+, COL,Jeff Samardzija (R),Tim Melville (R),W -161,U 8.5
157,Tuesday Sep 24,SFG,L,5,8,16,75-82,3,26,Howard,Rodriguez,Shaw,5:31,N,27870,0,-, COL,Madison Bumgarner (L),Jeff Hoffman (R),L -185,O 8.5
156,Sunday Sep 22,SFG,W,4,1,,75-81,3,25,Webb,Keuchel,Smith,3:07,D,33674,0,+, @ ATL,Logan Webb (R),Dallas Keuchel (L),W 189,U 9
155,Saturday Sep 21,SFG,L,1,8,,74-81,3,25,Fried,Cueto,,2:35,N,40899,0,---, @ ATL,Johnny Cueto (R),Max Fried (L),L 135,O 7.5
154,Friday Sep 20,SFG,L,0,6,,74-80,3,25,Foltynewicz,Beede,,2:21,N,37419,0,--, @ ATL,Tyler Beede (R),Mike Foltynewicz (R),L 185,U 9.5
153,Thursday Sep 19,SFG,L,4,5,,74-79,3,24,Rodriguez,Bumgarner,Workman,3:17,D,35816,0,-, @ BOS,Madison Bumgarner (L),Eduardo Rodriguez (L),L 144,O 8
152,Wednesday Sep 18,SFG,W,11,3,,74-78,3,23.5,Samardzija,Chacin,,3:34,N,35697,0,+++, @ BOS,Jeff Samardzija (R),Jhoulys Chacin (R),W 147,O 9.5
151,Tuesday Sep 17,SFG,W,7,6,15,73-78,3,24.5,Rodriguez,Kelley,,5:54,N,35925,0,++, @ BOS,Logan Webb (R),Nathan Eovaldi (R),W 181,O 9.5
150,Sunday Sep 15,SFG,W,2,1,,72-78,3,24.5,Rogers,Garcia,Smith,2:51,D,39663,0,+, MIA,Johnny Cueto (R),Elieser Hernandez (R),W -164,U 8
149,Saturday Sep 14,SFG,L,2,4,,71-78,3,24.5,Garcia,Anderson,Urena,2:56,N,38663,0,-, MIA,Madison Bumgarner (L),Robert Dugger (R),L -245,U 8
148,Friday Sep 13,SFG,W,1,0,,71-77,3,24.5,Beede,Alcantara,Anderson,2:22,N,33418,0,+, MIA,Tyler Beede (R),Sandy Alcantara (R),W -160,U 8
147,Thursday Sep 12,SFG,L,2,4,,70-77,3,24.5,Musgrove,Samardzija,Vazquez,2:57,D,30918,0,--, PIT,Jeff Samardzija (R),Joe Musgrove (R),L -110,U 8.5
146,Wednesday Sep 11,SFG,L,3,6,,70-76,3,23.5,Feliz,Webb,Vazquez,2:51,N,26627,0.01,-, PIT,Logan Webb (R),Dario Agrazal (R),L -146,P 9
145,Tuesday Sep 10,SFG,W,5,4,,70-75,3,23.5,Cueto,Keller,Anderson,2:57,N,26877,0,+, PIT,Johnny Cueto (R),Mitch Keller (R),W -116,O 8.5
144,Monday Sep 9,SFG,L,4,6,,69-75,3,23.5,Rodriguez,Abad,Vazquez,3:09,N,26826,0.01,--, PIT,Madison Bumgarner (L),Trevor Williams (R),L -172,O 7.5
143,Sunday Sep 8,SFG,L,0,5,,69-74,3,23,Maeda,Rodriguez,,2:46,D,52310,0.02,-, @ LAD,Dereck Rodriguez (R),Julio Urias (L),L 220,U 8.5
142,Saturday Sep 7,SFG,W,1,0,,69-73,3,22,Beede,Gonsolin,Gustave,3:21,N,53870,0.01,++, @ LAD,Tyler Beede (R),Tony Gonsolin (R),W 205,U 9.5
141,Friday Sep 6,SFG,W,5,4,,68-73,3,23,Samardzija,Kershaw,Smith,3:22,N,53317,0,+, @ LAD,Jeff Samardzija (R),Clayton Kershaw (L),W 275,O 8.5
140,Thursday Sep 5,SFG,L,0,10,,67-73,3,24,Hudson,Webb,Cabrera,2:54,D,36800,0.01,-, @ STL,Logan Webb (R),Dakota Hudson (R),L 169,O 8
139,Wednesday Sep 4,SFG,W,9,8,,67-72,3,23.5,Rogers,Gallegos,Smith,4:05,N,41945,0.01,+, @ STL,Madison Bumgarner (L),Michael Wacha (R),W 120,O 8
138,Tuesday Sep 3,SFG,L,0,1,,66-72,3,23.5,Flaherty,Rodriguez,Martinez,2:11,N,38259,0.02,----, @ STL,Dereck Rodriguez (R),Jack Flaherty (R),L 247,U 8.5
137,Monday Sep 2,SFG,L,1,3,,66-71,3,22.5,Wainwright,Beede,Martinez,2:43,D,40732,0.06,---, @ STL,Tyler Beede (R),Adam Wainwright (R),L 176,U 8.5
136,Sunday Sep 1,SFG,L,4,8,,66-70,3,21.5,Lauer,Samardzija,,3:02,D,38701,0.07,--, SD,Jeff Samardzija (R),Eric Lauer (L),L -123,O 8
