game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,STL,W,9,0,,91-71,1,up 2.0,Flaherty,Holland,,2:30,D,47212,2.56,+, CHC,Jack Flaherty (R),Derek Holland (L),W -279,O 8.5
161,Saturday Sep 28,STL,L,6,8,,90-71,1,up 1.0,Cishek,Wainwright,Kintzler,3:46,N,46971,2.46,----, CHC,Adam Wainwright (R),Cole Hamels (L),L -190,O 8.5
160,Friday Sep 27,STL,L,2,8,,90-70,1,up 1.0,Wieck,Miller,,4:04,N,46530,2.13,---, CHC,Dakota Hudson (R),Alec Mills (R),L -212,O 8.5
159,Wednesday Sep 25,STL,L,7,9,,90-69,1,up 1.5,Kelly,Fernandez,Bradley,3:52,D,21420,0.55,--, @ ARI,Michael Wacha (R),Merrill Kelly (R),L 108,O 8.5
158,Tuesday Sep 24,STL,L-wo,2,3,19,90-68,1,up 2.5,Ginkel,Brebbia,,6:53,N,26097,0.19,-, @ ARI,Jack Flaherty (R),Mike Leake (R),L -195,U 8.5
157,Monday Sep 23,STL,W,9,7,,90-67,1,up 3.5,Wainwright,Young,Martinez,3:29,N,24826,0.45,++++++, @ ARI,Adam Wainwright (R),Alex Young (L),W -142,O 8.5
156,Sunday Sep 22,STL,W,3,2,,89-67,1,up 3.0,Webb,Darvish,Miller,3:03,D,38606,0.61,+++++, @ CHC,Miles Mikolas (R),Yu Darvish (R),W 157,U 12
155,Saturday Sep 21,STL,W,9,8,,88-67,1,up 3.0,Gant,Kimbrel,Martinez,4:24,D,40071,1.02,++++, @ CHC,Dakota Hudson (R),Jose Quintana (L),W 120,O 11.5
154,Friday Sep 20,STL,W,2,1,,87-67,1,up 3.0,Helsley,Phelps,Martinez,3:55,D,39106,1.6,+++, @ CHC,Michael Wacha (R),Alec Mills (R),W 119,U 10
153,Thursday Sep 19,STL,W,5,4,10,86-67,1,up 3.0,Miller,Kimbrel,Gallegos,3:40,N,39524,2.34,++, @ CHC,Jack Flaherty (R),Kyle Hendricks (R),W -101,O 7.5
152,Wednesday Sep 18,STL,W,5,1,,85-67,1,up 3.0,Wainwright,Scherzer,Martinez,2:55,D,37669,2.54,+, WAS,Adam Wainwright (R),Max Scherzer (R),W 146,U 8
151,Tuesday Sep 17,STL,L,2,6,,84-67,1,up 2.0,Corbin,Mikolas,Hudson,3:21,N,44061,2,-, WAS,Miles Mikolas (R),Patrick Corbin (L),L -114,P 8
150,Monday Sep 16,STL,W,4,2,,84-66,1,up 2.0,Hudson,Doolittle,Martinez,3:04,N,42812,2.02,+, WAS,Dakota Hudson (R),Stephen Strasburg (R),W 128,U 8
149,Sunday Sep 15,STL,L,6,7,,83-66,1,up 2.0,Albers,Gant,Hader,3:26,D,46722,1.83,--, MIL,Michael Wacha (R),Chase Anderson (R),L -143,O 9
