game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,TBR,L,3,8,,96-66,2,7,Buchholz,Snell,,3:07,D,25738,0.45,--, @ TOR,Blake Snell (L),Clay Buchholz (R),L -214,O 9
161,Saturday Sep 28,TBR,L,1,4,,96-65,2,7,Thornton,Yarbrough,Giles,3:17,D,20293,0.49,-, @ TOR,Ryan Yarbrough (L),Trent Thornton (R),L -193,U 9.5
160,Friday Sep 27,TBR,W,6,2,,96-64,2,7,Drake,Zeuch,,3:04,N,16348,1.09,++++, @ TOR,Tyler Glasnow (R),T.J. Zeuch (R),W -235,U 9.5
159,Wednesday Sep 25,TBR,W,4,0,,95-64,2,7,Morton,Loaisiga,,3:10,N,20390,2.59,+++, NYY,Charlie Morton (R),Jonathan Loaisiga (R),W -144,U 8
158,Tuesday Sep 24,TBR,W-wo,2,1,12,94-64,2,8,Fairbanks,Gearrin,,4:00,N,16699,2.32,++, NYY,Yonny Chirinos (R),Jordan Montgomery (L),W -118,U 9
157,Monday Sep 23,TBR,W,7,4,,93-64,2,9,Pruitt,Poyner,Poche,3:29,N,8779,2.34,+, BOS,Blake Snell (L),Jhoulys Chacin (R),W -198,O 8.5
156,Sunday Sep 22,TBR,L,4,7,,92-64,2,9.5,Eovaldi,Yarbrough,,3:32,D,17946,1.81,-, BOS,Ryan Yarbrough (L),Nathan Eovaldi (R),L -159,O 9
155,Saturday Sep 21,TBR,W-wo,5,4,11,92-63,2,8.5,Castillo,Smith,,3:57,N,18179,2.08,+++, BOS,Tyler Glasnow (R),Travis Lakins Sr. (R),W -199,P 9
154,Friday Sep 20,TBR,W-wo,5,4,11,91-63,2,8.5,Castillo,Kelley,,3:58,N,17117,2.01,++, BOS,Charlie Morton (R),Rick Porcello (R),W -174,O 8.5
153,Wednesday Sep 18,TBR,W,8,7,11,90-63,2,9,Poche,Sborz,Fairbanks,4:40,N,48253,1.73,+, @ LAD,Brendan McKay (L),Casey Sadler (R),W 116,O 9
152,Tuesday Sep 17,TBR,L,5,7,,89-63,2,10,Maeda,Fairbanks,Jansen,3:43,N,48663,1.46,--, @ LAD,Blake Snell (L),Caleb Ferguson (L),L 105,O 8
151,Sunday Sep 15,TBR,L,4,6,,89-62,2,9,Ramirez,Yarbrough,Robles,2:54,D,36709,1.09,-, @ LAA,Ryan Yarbrough (L),Patrick Sandoval (L),L -194,O 9
150,Saturday Sep 14,TBR,W,3,1,,89-61,2,9,Richards,Barria,Pagan,3:13,N,39056,1.5,++, @ LAA,Tyler Glasnow (R),Jaime Barria (R),W -184,U 9
149,Friday Sep 13,TBR,W,11,4,,88-61,2,9,Morton,Heaney,,3:07,N,39914,1.57,+, @ LAA,Charlie Morton (R),Andrew Heaney (L),W -151,O 8
148,Thursday Sep 12,TBR,L,4,6,,87-61,2,10,Farrell,McKay,Leclerc,3:16,N,18222,1.43,--, @ TEX,Brendan McKay (L),Kolby Allard (L),L -156,U 10.5
147,Wednesday Sep 11,TBR,L,9,10,,87-60,2,8.5,Gibaut,Poche,Leclerc,4:09,N,19746,1.05,-, @ TEX,Andrew Kittredge (R),Ariel Jurado (R),L -153,O 11
146,Tuesday Sep 10,TBR,W,5,3,11,87-59,2,8,Pagan,Clase,Fairbanks,3:45,N,18467,1,++++++, @ TEX,Ryan Yarbrough (L),Lance Lynn (R),W -136,U 9
145,Sunday Sep 8,TBR,W,8,3,,86-59,2,8.5,Richards,Waguespack,,2:36,D,14071,0.98,+++++, TOR,Tyler Glasnow (R),Jacob Waguespack (R),W -204,O 8.5
144,Saturday Sep 7,TBR,W,5,3,,85-59,2,8.5,Anderson,Romano,Drake,3:06,N,12663,1.13,++++, TOR,Charlie Morton (R),Anthony Kay (L),W -248,U 8.5
143,Friday Sep 6,TBR,W,5,0,,84-59,2,8.5,Fairbanks,Buchholz,Pagan,2:35,N,10853,1.2,+++, TOR,Brendan McKay (L),Clay Buchholz (R),W -171,U 8.5
142,Thursday Sep 5,TBR,W,6,4,,83-59,2,9.5,Drake,Boshers,Pagan,3:32,N,5962,1.28,++, TOR,Austin Pruitt (R),Trent Thornton (R),W -178,O 9
141,Tuesday Sep 3 (2),TBR,W,2,0,,82-59,2,9.5,Castillo,Ynoa,Pagan,2:27,N,6844,1.26,+, BAL,Andrew Kittredge (R),Gabriel Ynoa (R),W -253,U 9.5
140,Tuesday Sep 3 (1),TBR,L,2,4,,81-59,2,9.5,Blach,Drake,Bleier,2:41,D,,1.19,-, BAL,Trevor Richards (R),Ty Blach (L),L -280,U 9.5
139,Monday Sep 2,TBR,W-wo,5,4,10,81-58,2,9,Poche,Tate,,3:16,D,10566,1.22,+++++, BAL,Ryan Yarbrough (L),Asher Wojciechowski (R),W -285,O 8.5
138,Sunday Sep 1,TBR,W,8,2,,80-58,2,10,Morton,Plutko,,3:01,D,14922,1.85,++++, CLE,Charlie Morton (R),Adam Plutko (R),W -202,O 8
137,Saturday Aug 31,TBR,W,9,6,,79-58,2,10,Beeks,Plesac,Pagan,3:18,N,13327,1.83,+++, CLE,Diego Castillo (R),Zach Plesac (R),W -136,O 8.5
136,Friday Aug 30,TBR,W,4,0,,78-58,2,10,Drake,Bieber,,2:52,N,15294,1.66,++, CLE,Austin Pruitt (R),Shane Bieber (R),W 126,U 8
135,Thursday Aug 29,TBR,W,9,8,,77-58,2,11,De Leon,Devenski,Pagan,4:06,D,33051,1.2,+, @ HOU,Andrew Kittredge (R),Zack Greinke (R),W 202,O 9
134,Wednesday Aug 28,TBR,L,6,8,,76-58,2,11.5,Harris,Castillo,,3:09,N,25539,1.22,----, @ HOU,Ryan Yarbrough (L),Gerrit Cole (R),L 201,O 8
133,Tuesday Aug 27,TBR,L,1,15,,76-57,2,10.5,Verlander,Morton,,3:10,N,28454,1.23,---, @ HOU,Charlie Morton (R),Justin Verlander (R),L 175,O 7.5
132,Sunday Aug 25,TBR,L,3,8,,76-56,2,9,Bundy,Castillo,,2:54,D,13287,1.27,--, @ BAL,Diego Castillo (R),Dylan Bundy (R),L -164,O 9.5
131,Saturday Aug 24,TBR,L,1,7,,76-55,2,8,Means,Alvarado,,2:38,N,11409,1.17,-, @ BAL,Jose Alvarado (L),John Means (L),L -191,U 9.5
130,Friday Aug 23,TBR,W,7,1,,76-54,2,8,Richards,Blach,Slegers,2:25,N,14762,1.23,+++, @ BAL,Trevor Richards (R),Ty Blach (L),W -188,U 10.5
129,Thursday Aug 22,TBR,W,5,2,,75-54,2,8,Drake,Castro,Pagan,3:29,N,8153,1.2,++, @ BAL,Ryan Yarbrough (L),Asher Wojciechowski (R),W -213,U 10
128,Wednesday Aug 21,TBR,W-wo,7,6,,74-54,2,9,Pagan,Magill,,2:58,D,7827,1.18,+, SEA,Charlie Morton (R),Cory Gearrin (R),W -296,O 8
127,Tuesday Aug 20,TBR,L,4,7,,73-54,2,10,Milone,Beeks,Magill,3:25,N,7455,1.14,--, SEA,Diego Castillo (R),Matt Wisler (R),L -197,O 8.5
126,Monday Aug 19,TBR,L,3,9,,73-53,2,10,Gonzales,McKay,,3:04,N,9152,1.15,-, SEA,Brendan McKay (L),Marco Gonzales (L),L -195,O 8
125,Sunday Aug 18,TBR,W-wo,5,4,,73-52,2,9.5,Alvarado,Jimenez,,3:04,D,16634,1.08,++, DET,Trevor Richards (R),Matthew Boyd (L),W -187,O 7.5
124,Saturday Aug 17,TBR,W-wo,1,0,13,72-52,2,10.5,Poche,Hall,,3:39,N,17228,1.14,+, DET,Ryan Yarbrough (L),Jordan Zimmermann (R),W -310,U 8.5
123,Friday Aug 16,TBR,L,0,2,,71-52,2,10.5,VerHagen,Morton,Jimenez,2:29,N,13717,1.07,--, DET,Charlie Morton (R),Daniel Norris (L),L -323,U 7.5
122,Wednesday Aug 14,TBR,L,2,7,,71-51,2,10,Quantrill,Beeks,,3:10,D,22886,0.97,-, @ SD,Jalen Beeks (L),Cal Quantrill (R),L 108,O 8.5
121,Tuesday Aug 13,TBR,W,7,5,,71-50,2,9,Anderson,BÃ¡ez,Pagan,3:44,N,25261,1.09,+++++, @ SD,Brendan McKay (L),Eric Lauer (L),W -119,O 8
120,Monday Aug 12,TBR,W,10,4,,70-50,2,9,Pruitt,Lucchesi,,3:47,N,21301,1.14,++++, @ SD,Diego Castillo (R),Joey Lucchesi (L),W 106,O 8.5
119,Sunday Aug 11,TBR,W,1,0,,69-50,2,8.5,Yarbrough,LeBlanc,Pagan,2:23,D,24219,1.19,+++, @ SEA,Ryan Yarbrough (L),Sam Tuivailala (R),W -179,U 9
118,Saturday Aug 10,TBR,W,5,4,,68-50,2,8.5,Morton,Milone,Pagan,2:39,N,33895,1.17,++, @ SEA,Charlie Morton (R),Matt Wisler (R),W -197,O 8
117,Friday Aug 9,TBR,W,5,3,,67-50,2,9.5,Drake,Bass,Pagan,3:21,N,26774,1.07,+, @ SEA,Jalen Beeks (L),Marco Gonzales (L),W -135,U 9
116,Wednesday Aug 7,TBR,L,3,4,,66-50,2,10,Stewart,McKay,Giles,3:15,D,10299,1.15,-, TOR,Brendan McKay (L),Wilmer Font (R),L -226,U 9
115,Tuesday Aug 6,TBR,W-wo,7,6,10,66-49,2,9,Castillo,Boshers,,3:50,N,9434,1.15,+, TOR,Andrew Kittredge (R),Trent Thornton (R),W -194,O 8.5
114,Monday Aug 5,TBR,L,0,2,,65-49,2,9,Waguespack,Morton,Law,2:45,N,11948,1.23,-, TOR,Charlie Morton (R),Jacob Waguespack (R),L -275,U 8
113,Sunday Aug 4,TBR,W,7,2,,65-48,2,8,Chirinos,Smith,,2:53,D,14819,1.28,++++++, MIA,Yonny Chirinos (R),Caleb Smith (L),W -182,O 8
