game,date,result and moneyline
162,Sunday Oct 3,L 121
161,Saturday Oct 2,W 121
160,Friday Oct 1,W 116
159,Thursday Sep 30,L 133
158,Wednesday Sep 29,W 129
157,Tuesday Sep 28,L 121
156,Sunday Sep 26,W -265
155,Saturday Sep 25,W -183
154,Friday Sep 24,W -243
153,Wednesday Sep 22,W 101
152,Tuesday Sep 21,L -103
151,Monday Sep 20,W 117
150,Sunday Sep 19,L -265
149,Saturday Sep 18,L -182
148,Friday Sep 17,W -202
147,Thursday Sep 16,W -189
146,Wednesday Sep 15,L 164
145,Tuesday Sep 14,W 129
144,Monday Sep 13,L 127
143,Sunday Sep 12,L -146
142,Saturday Sep 11,W -149
141,Friday Sep 10,L -158
140,Wednesday Sep 8,L 101
139,Tuesday Sep 7,W 104
138,Monday Sep 6,W 129
137,Sunday Sep 5,L -212
136,Saturday Sep 4,W -215
135,Friday Sep 3,W -191
134,Thursday Sep 2,L -160
133,Wednesday Sep 1,L -115
132,Tuesday Aug 31,W -161
131,Monday Aug 30,W -143
130,Sunday Aug 29,W -238
129,Saturday Aug 28,W -151
128,Friday Aug 27,W -224
127,Wednesday Aug 25,W 140
126,Tuesday Aug 24,W -113
125,Sunday Aug 22,W -120
124,Saturday Aug 21,W -142
123,Friday Aug 20,L 105
122,Thursday Aug 19,W -348
121,Wednesday Aug 18,W -319
120,Tuesday Aug 17,W -251
119,Monday Aug 16,W -252
118,Sunday Aug 15,L -147
117,Saturday Aug 14,L -102
116,Friday Aug 13,W -165
115,Thursday Aug 12,W 107
114,Wednesday Aug 11,L 108
113,Tuesday Aug 10,W 111
112,Sunday Aug 8,W -181
111,Saturday Aug 7,W -215
110,Friday Aug 6,W -147
109,Wednesday Aug 4,W -151
108,Tuesday Aug 3,L -150
107,Monday Aug 2,L -195
106,Sunday Aug 1,W -154
105,Saturday Jul 31,W -109
104,Friday Jul 30,W -141
103,Thursday Jul 29,W 112
102,Wednesday Jul 28,L -131
101,Tuesday Jul 27,L -131
100,Sunday Jul 25,L -167
99,Saturday Jul 24,W -153
98,Friday Jul 23,W -126
97,Thursday Jul 22,W -127
96,Wednesday Jul 21,W -217
95,Tuesday Jul 20,W -196
94,Monday Jul 19,L -277
93,Sunday Jul 18,W 101
92,Saturday Jul 17,L 102
91,Friday Jul 16,W 118
90,Sunday Jul 11,L 106
89,Saturday Jul 10,W -109
88,Friday Jul 9,W -121
87,Wednesday Jul 7 (2),W -207
86,Wednesday Jul 7 (1),W -152
85,Monday Jul 5,W -192
84,Sunday Jul 4,W 154
83,Saturday Jul 3,L 111
82,Friday Jul 2,L 111
81,Wednesday Jun 30,L -118
80,Tuesday Jun 29,L 102
79,Sunday Jun 27,L -150
78,Saturday Jun 26,W -149
77,Friday Jun 25,W -164
76,Thursday Jun 24,W -110
75,Wednesday Jun 23,W -145
74,Tuesday Jun 22,L -111
73,Sunday Jun 20,L -158
72,Saturday Jun 19,L -143
71,Friday Jun 18,L -104
70,Thursday Jun 17,L -170
69,Wednesday Jun 16,L 119
68,Tuesday Jun 15,L 102
67,Monday Jun 14,W -122
66,Sunday Jun 13,W -171
65,Saturday Jun 12,W -213
64,Friday Jun 11,W -171
63,Wednesday Jun 9,L -164
62,Tuesday Jun 8,W -223
61,Sunday Jun 6,W -124
60,Saturday Jun 5,W -148
59,Friday Jun 4,L -123
58,Thursday Jun 3,W 174
57,Wednesday Jun 2,L 122
56,Tuesday Jun 1,L -130
55,Monday May 31,W 120
54,Sunday May 30,W -141
53,Saturday May 29,W -117
52,Thursday May 27,W -163
51,Wednesday May 26,W -198
50,Tuesday May 25,L -187
49,Monday May 24,W -107
48,Sunday May 23,W 148
47,Saturday May 22,W 108
46,Friday May 21,W -151
45,Thursday May 20,W -151
44,Wednesday May 19,W -103
43,Tuesday May 18,W -155
42,Sunday May 16,W -102
41,Saturday May 15,W -148
40,Friday May 14,W -151
39,Thursday May 13,W 109
38,Wednesday May 12,L 165
37,Tuesday May 11,L 112
36,Sunday May 9,W 105
35,Saturday May 8,L -129
34,Friday May 7,L 114
33,Thursday May 6,W 136
32,Wednesday May 5,W -108
31,Tuesday May 4,W 104
30,Monday May 3,W -148
29,Sunday May 2,W 115
28,Saturday May 1,L -101
27,Friday Apr 30,L 112
26,Thursday Apr 29,L -110
25,Wednesday Apr 28,W -172
24,Tuesday Apr 27,W -108
23,Monday Apr 26,L -100
22,Sunday Apr 25,L 107
21,Saturday Apr 24,W -131
20,Friday Apr 23,L -160
19,Wednesday Apr 21,L -108
18,Tuesday Apr 20,W -108
17,Monday Apr 19,W -103
16,Sunday Apr 18,W 215
15,Saturday Apr 17,W 103
14,Friday Apr 16,W 151
13,Thursday Apr 15,L -177
12,Wednesday Apr 14,L -192
11,Tuesday Apr 13,L -164
10,Monday Apr 12,W -206
9,Sunday Apr 11,L 127
8,Saturday Apr 10,W 123
7,Friday Apr 9,W 124
6,Wednesday Apr 7,L 102
5,Tuesday Apr 6,L -162
4,Monday Apr 5,L -103
3,Saturday Apr 3,L -103
2,Friday Apr 2,W -100
1,Thursday Apr 1,W -157
