game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,TEX,W,6,1,,78-84,3,29,Lynn,Tanaka,,2:47,D,47144,0,++, NYY,Lance Lynn (R),Chad Green (R),W 135,U 10.5
161,Saturday Sep 28,TEX,W,9,4,,77-84,3,29,Hernandez,Severino,,3:17,N,42870,0,+, NYY,Luke Farrell (R),Luis Severino (R),W 240,O 11
160,Friday Sep 27,TEX,L,7,14,,76-84,3,29,Tarpley,Palumbo,,3:37,N,35168,0,-, NYY,Joe Palumbo (L),James Paxton (L),L 243,O 10.5
159,Thursday Sep 26,TEX,W,7,5,,76-83,3,28,Minor,Weber,Leclerc,3:02,D,24612,0,+, BOS,Mike Minor (L),Travis Lakins Sr. (R),W -127,O 10.5
158,Wednesday Sep 25,TEX,L,3,10,,75-83,3,29,Porcello,Allard,,3:18,N,29290,0,--, BOS,Kolby Allard (L),Rick Porcello (R),L 116,O 11.5
157,Tuesday Sep 24,TEX,L,10,12,,75-82,3,28,Rodriguez,Jurado,Workman,3:59,N,23341,0,-, BOS,Edinson Volquez (R),Eduardo Rodriguez (L),L 201,O 10.5
156,Sunday Sep 22,TEX,W,8,3,,75-81,3,27,Lynn,Roark,,3:15,D,38453,0,+, @ OAK,Lance Lynn (R),Tanner Roark (R),W 166,O 8
155,Saturday Sep 21,TEX,L,3,12,,74-81,3,27,Manaea,Burke,,3:17,N,29896,0,-------, @ OAK,Brock Burke (L),Sean Manaea (L),L 290,O 9
154,Friday Sep 20,TEX,L,0,8,,74-80,3,27,Fiers,Minor,,2:38,N,29579,0,------, @ OAK,Mike Minor (L),Mike Fiers (R),L 168,U 8.5
153,Wednesday Sep 18,TEX,L,2,3,,74-79,3,26,Cole,Allard,Osuna,2:35,N,38417,0,-----, @ HOU,Kolby Allard (L),Gerrit Cole (R),L 399,U 8.5
152,Tuesday Sep 17,TEX,L,1,4,,74-78,3,25,Verlander,Lynn,Osuna,2:45,N,39650,0,----, @ HOU,Lance Lynn (R),Justin Verlander (R),L 294,U 8
151,Sunday Sep 15,TEX,L,1,6,,74-77,3,24,Manaea,Hernandez,Luzardo,3:10,D,26064,0,---, OAK,Jonathan Hernandez (R),Sean Manaea (L),L 189,U 11.5
150,Saturday Sep 14,TEX,L,6,8,,74-76,3,23,Buchter,Minor,Hendriks,3:47,N,31928,0,--, OAK,Mike Minor (L),Mike Fiers (R),L 111,O 10.5
149,Friday Sep 13,TEX,L,9,14,,74-75,3,22,Wendelken,Gibaut,,3:28,N,27813,0,-, OAK,Brock Burke (L),Chris Bassitt (R),L 161,O 11
148,Thursday Sep 12,TEX,W,6,4,,74-74,3,21,Farrell,McKay,Leclerc,3:16,N,18222,0,++, TB,Kolby Allard (L),Brendan McKay (L),W 144,U 10.5
147,Wednesday Sep 11,TEX,W,10,9,,73-74,3,22,Gibaut,Poche,Leclerc,4:09,N,19746,0,+, TB,Ariel Jurado (R),Andrew Kittredge (R),W 141,O 11
146,Tuesday Sep 10,TEX,L,3,5,11,72-74,3,23,Pagan,Clase,Fairbanks,3:45,N,18467,0,-, TB,Lance Lynn (R),Ryan Yarbrough (L),L 125,U 9
145,Sunday Sep 8,TEX,W,10,4,,72-73,3,22.5,Minor,Wojciechowski,,3:20,D,16142,0,++++, @ BAL,Mike Minor (L),Asher Wojciechowski (R),W -132,O 9.5
144,Saturday Sep 7,TEX,W,9,4,,71-73,3,22.5,Mendez,Brooks,,3:11,N,11796,0,+++, @ BAL,Jonathan Hernandez (R),Aaron Brooks (R),W -101,O 9.5
143,Friday Sep 6,TEX,W,7,6,,70-73,3,22.5,Martin,Fry,Leclerc,3:03,N,10596,0,++, @ BAL,Brock Burke (L),Dylan Bundy (R),W 123,O 9
142,Thursday Sep 5,TEX,W,3,1,,69-73,3,22.5,Allard,Means,Leclerc,2:35,N,8209,0,+, @ BAL,Kolby Allard (L),John Means (L),W 116,U 9.5
141,Wednesday Sep 4,TEX,L,1,4,,68-73,3,22.5,Cessa,Lynn,,3:05,N,36082,0,--, @ NYY,Lance Lynn (R),Chad Green (R),L 140,U 9.5
140,Tuesday Sep 3,TEX,L,1,10,,68-72,3,22,Paxton,Volquez,,2:36,N,33711,0,-, @ NYY,Edinson Volquez (R),James Paxton (L),L 289,O 9.5
139,Monday Sep 2,TEX,W,7,0,,68-71,3,22,Minor,Tanaka,,3:04,D,40015,0,+, @ NYY,Mike Minor (L),Masahiro Tanaka (R),W 198,U 9.5
138,Sunday Sep 1,TEX,L,3,11,,67-71,3,22,Kikuchi,Martin,,3:39,D,22116,0,-, SEA,Brett Martin (L),Yusei Kikuchi (L),L -126,O 10
137,Saturday Aug 31,TEX,W-wo,3,2,,67-70,3,21,Clase,Magill,,2:49,N,33668,0,++, SEA,Brock Burke (L),Tommy Milone (L),W -126,U 10.5
136,Friday Aug 30,TEX,W,6,3,,66-70,3,22,Allard,Gonzales,Clase,2:45,N,23563,0,+, SEA,Kolby Allard (L),Marco Gonzales (L),W -108,U 10.5
135,Thursday Aug 29,TEX,L,3,5,,65-70,3,22,Magill,Leclerc,,3:09,N,16591,0,-, SEA,Lance Lynn (R),Felix Hernandez (R),L -184,U 10.5
