game,date,result and moneyline
162,Sunday Oct 3,L -109
161,Saturday Oct 2,W 131
160,Friday Oct 1,L 102
159,Thursday Sep 30,W 130
158,Wednesday Sep 29,L -118
157,Tuesday Sep 28,W 100
156,Sunday Sep 26,W 112
155,Saturday Sep 25,L -107
154,Friday Sep 24,W -103
153,Thursday Sep 23,L -123
152,Wednesday Sep 22,L 239
151,Tuesday Sep 21,L 231
150,Monday Sep 20,L 236
149,Sunday Sep 19,L 182
148,Saturday Sep 18,W 212
147,Friday Sep 17,L 166
146,Thursday Sep 16,L 144
145,Wednesday Sep 15,L 168
144,Tuesday Sep 14,W 171
143,Monday Sep 13,L 157
142,Sunday Sep 12,W 162
141,Saturday Sep 11,W 182
140,Friday Sep 10,L 159
139,Wednesday Sep 8,W 137
138,Tuesday Sep 7,W 160
137,Monday Sep 6,W 130
136,Sunday Sep 5,W 113
135,Saturday Sep 4,L 139
134,Friday Sep 3,L 163
133,Wednesday Sep 1,L 125
132,Tuesday Aug 31,W 114
131,Monday Aug 30,W 133
130,Sunday Aug 29,W 193
129,Saturday Aug 28,L 212
128,Friday Aug 27,L 170
127,Thursday Aug 26,L 140
126,Wednesday Aug 25,L 171
125,Tuesday Aug 24,W 156
124,Monday Aug 23,L 257
123,Saturday Aug 21,W 293
122,Friday Aug 20,L 255
121,Thursday Aug 19,L 122
120,Wednesday Aug 18,L 143
119,Tuesday Aug 17,L 120
118,Sunday Aug 15,W 205
117,Saturday Aug 14,L 205
116,Friday Aug 13,W 143
115,Thursday Aug 12,L 196
114,Wednesday Aug 11,L 184
113,Tuesday Aug 10,W 190
112,Sunday Aug 8,L 231
111,Saturday Aug 7,L 214
110,Friday Aug 6,L 281
109,Thursday Aug 5,L -107
108,Wednesday Aug 4,L 154
107,Tuesday Aug 3,L 118
106,Monday Aug 2,W -108
105,Sunday Aug 1,W 133
104,Saturday Jul 31,W 120
103,Friday Jul 30,L 142
102,Wednesday Jul 28,L -116
101,Tuesday Jul 27,W -144
100,Sunday Jul 25,L 224
99,Saturday Jul 24,L 195
98,Friday Jul 23,L 186
97,Thursday Jul 22,L 127
96,Wednesday Jul 21,L 100
95,Tuesday Jul 20,L 103
94,Monday Jul 19,L -106
93,Sunday Jul 18 (2),L 187
91,Friday Jul 16,L 237
90,Sunday Jul 11,L 129
89,Saturday Jul 10,L 119
88,Friday Jul 9,W 113
87,Wednesday Jul 7,L -148
86,Tuesday Jul 6,W -176
85,Monday Jul 5,L -157
84,Sunday Jul 4,L 132
83,Saturday Jul 3,W 148
82,Friday Jul 2,L 110
81,Thursday Jul 1,W 164
80,Wednesday Jun 30,L 170
79,Tuesday Jun 29,W 178
78,Sunday Jun 27,W -105
77,Saturday Jun 26,W -155
76,Friday Jun 25,W -119
75,Thursday Jun 24,L 130
74,Wednesday Jun 23,W 130
73,Tuesday Jun 22,L 119
72,Monday Jun 21,W 107
71,Sunday Jun 20,L 112
70,Saturday Jun 19,L -102
69,Friday Jun 18,L 144
68,Wednesday Jun 16,L 208
67,Tuesday Jun 15,L 160
66,Sunday Jun 13,L 176
65,Saturday Jun 12,W 231
64,Friday Jun 11,L 292
63,Wednesday Jun 9,W -104
62,Tuesday Jun 8,L 132
61,Sunday Jun 6,L 114
60,Saturday Jun 5,L 137
59,Friday Jun 4,W 114
58,Thursday Jun 3,L 120
57,Wednesday Jun 2,L -111
56,Tuesday Jun 1,L -107
55,Sunday May 30,L 134
54,Saturday May 29,L -106
53,Friday May 28,L 112
52,Thursday May 27,L -102
51,Wednesday May 26,L -112
50,Tuesday May 25,L 157
49,Sunday May 23,W 132
48,Saturday May 22,W 155
47,Friday May 21,W 112
46,Thursday May 20,L 106
45,Wednesday May 19,L 151
44,Tuesday May 18,L 138
43,Monday May 17,W 230
42,Sunday May 16,L 158
41,Saturday May 15,L 147
40,Friday May 14,L 193
39,Thursday May 13,L 182
38,Tuesday May 11,L 130
37,Monday May 10,L 125
36,Sunday May 9,W -133
35,Saturday May 8,W -105
34,Friday May 7,L -122
33,Thursday May 6,W 155
32,Wednesday May 5,W 159
31,Tuesday May 4,W 143
30,Monday May 3,L 169
29,Sunday May 2,W 110
28,Saturday May 1,W 162
27,Friday Apr 30,L 148
26,Thursday Apr 29,W -101
25,Wednesday Apr 28,L 119
24,Tuesday Apr 27,W 141
23,Monday Apr 26,L 150
22,Sunday Apr 25,L 157
21,Saturday Apr 24,L 149
20,Friday Apr 23,L 129
19,Wednesday Apr 21,W 156
18,Tuesday Apr 20,L 162
17,Monday Apr 19,W 195
16,Sunday Apr 18,W -105
15,Saturday Apr 17,L -131
14,Friday Apr 16,L -124
13,Thursday Apr 15,W 162
12,Wednesday Apr 14,W 175
11,Tuesday Apr 13,W 150
10,Monday Apr 12,L 187
9,Sunday Apr 11,L 152
8,Saturday Apr 10,L 141
7,Friday Apr 9,L 174
6,Wednesday Apr 7,W 174
5,Tuesday Apr 6,W 127
4,Monday Apr 5,L 140
3,Sunday Apr 4,W 151
2,Saturday Apr 3,L 145
1,Thursday Apr 1,L 142
