game,date,result and moneyline
162,Sunday Oct 3,W -359
161,Saturday Oct 2,W -281
160,Friday Oct 1,W -379
159,Thursday Sep 30,L -148
158,Wednesday Sep 29,W 104
157,Tuesday Sep 28,L -120
156,Sunday Sep 26,W -166
155,Saturday Sep 25,W -186
154,Friday Sep 24,L -153
153,Thursday Sep 23,L -139
152,Wednesday Sep 22,L -109
151,Tuesday Sep 21,W -105
150,Monday Sep 20,L -127
149,Sunday Sep 19,W -218
148,Saturday Sep 18,W -165
147,Friday Sep 17,L -197
146,Wednesday Sep 15,W -180
145,Tuesday Sep 14,L -140
144,Monday Sep 13,W -138
143,Sunday Sep 12,W -213
142,Saturday Sep 11 (2),W -186
141,Saturday Sep 11 (1),W -247
140,Friday Sep 10,L -291
139,Thursday Sep 9,W 105
138,Wednesday Sep 8,W 114
137,Tuesday Sep 7,W 210
136,Monday Sep 6,W 122
135,Sunday Sep 5,W -202
134,Saturday Sep 4,W -172
133,Friday Sep 3,W -149
132,Wednesday Sep 1,W -240
131,Tuesday Aug 31,L -303
130,Monday Aug 30,W -331
129,Sunday Aug 29,W -171
128,Saturday Aug 28,W -187
127,Friday Aug 27,L -161
126,Thursday Aug 26,L -102
125,Wednesday Aug 25,W -113
124,Tuesday Aug 24,L -127
123,Monday Aug 23,W -115
122,Sunday Aug 22,L -268
121,Saturday Aug 21,W -241
120,Friday Aug 20,L -263
119,Wednesday Aug 18,L -166
118,Tuesday Aug 17,L -194
117,Sunday Aug 15,W -111
116,Saturday Aug 14,L -144
115,Friday Aug 13,L -159
114,Thursday Aug 12,L -126
113,Wednesday Aug 11,W -181
112,Tuesday Aug 10 (2),W -172
111,Tuesday Aug 10 (1),L -162
110,Sunday Aug 8,W -185
109,Saturday Aug 7 (2),L -151
108,Saturday Aug 7 (1),W -190
107,Friday Aug 6,W -136
106,Thursday Aug 5,W -195
105,Wednesday Aug 4,W -194
104,Tuesday Aug 3,W -206
103,Monday Aug 2,L -255
102,Sunday Aug 1,W -236
101,Saturday Jul 31,W -236
100,Friday Jul 30,W -240
99,Thursday Jul 29,W 110
98,Wednesday Jul 28 (2),L 114
97,Wednesday Jul 28 (1),W -149
96,Monday Jul 26,L 124
95,Sunday Jul 25,L -119
94,Saturday Jul 24,W -112
93,Friday Jul 23,L -102
92,Wednesday Jul 21,L -195
91,Monday Jul 19,L -125
90,Sunday Jul 18 (2),W -206
88,Friday Jul 16,W -265
87,Sunday Jul 11,W -115
86,Saturday Jul 10,L 101
85,Friday Jul 9,L 112
84,Wednesday Jul 7,W -186
83,Tuesday Jul 6,L -191
82,Sunday Jul 4,L -168
81,Saturday Jul 3,W -120
80,Friday Jul 2,W -120
79,Thursday Jul 1,L -187
78,Wednesday Jun 30,L -242
77,Tuesday Jun 29,W -226
76,Sunday Jun 27,W -238
75,Saturday Jun 26,W -258
74,Friday Jun 25,L -256
73,Thursday Jun 24,W -186
72,Wednesday Jun 23,W -117
71,Tuesday Jun 22,W 102
70,Sunday Jun 20,W -175
69,Saturday Jun 19,W -157
68,Friday Jun 18,L -202
67,Thursday Jun 17,L -106
66,Wednesday Jun 16,L 142
65,Tuesday Jun 15,L -119
64,Monday Jun 14,L 121
63,Sunday Jun 13,W -123
62,Saturday Jun 12,W 107
61,Friday Jun 11,L 102
60,Thursday Jun 10,L -115
59,Wednesday Jun 9,W 136
58,Tuesday Jun 8,L 133
57,Sunday Jun 6,L -108
56,Saturday Jun 5,W -106
55,Friday Jun 4,L -134
54,Wednesday Jun 2,W -163
53,Tuesday Jun 1,W -151
52,Sunday May 30 (2),L -163
51,Sunday May 30 (1),W -104
50,Friday May 28,W -168
49,Thursday May 27 (2),L 119
48,Thursday May 27 (1),W 107
47,Tuesday May 25,W 150
46,Monday May 24,L -101
45,Sunday May 23,L -162
44,Saturday May 22,L -117
43,Friday May 21,L 139
42,Thursday May 20,L -123
41,Wednesday May 19,L -114
40,Tuesday May 18,W -123
39,Sunday May 16,W -197
38,Saturday May 15,W 129
37,Friday May 14,L -142
36,Thursday May 13,W 142
35,Wednesday May 12,W -101
34,Tuesday May 11,W -105
33,Sunday May 9,L 139
32,Saturday May 8,W 132
31,Friday May 7,L 127
30,Thursday May 6,W -133
29,Wednesday May 5,W 120
28,Tuesday May 4,L 111
27,Monday May 3,L 104
26,Sunday May 2,W 116
25,Saturday May 1,W 120
24,Friday Apr 30,W -126
23,Wednesday Apr 28,L -178
22,Tuesday Apr 27,W 108
21,Sunday Apr 25,W -116
20,Saturday Apr 24,L 121
19,Friday Apr 23,W 147
18,Wednesday Apr 21,W 113
17,Tuesday Apr 20,L -106
16,Sunday Apr 18,L 104
15,Saturday Apr 17 (2),L -121
14,Saturday Apr 17 (1),W -106
13,Thursday Apr 15,L 110
12,Wednesday Apr 14,W 130
11,Tuesday Apr 13,W -109
10,Monday Apr 12,L 171
9,Saturday Apr 10,W -107
8,Friday Apr 9,L 114
7,Thursday Apr 8,L -107
6,Wednesday Apr 7,L -191
5,Tuesday Apr 6,L -138
4,Monday Apr 5,W -152
3,Sunday Apr 4,W 161
2,Saturday Apr 3,L 149
1,Thursday Apr 1,W 172
