game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,WSN,W,8,2,,93-69,2,4,Ross,Clevinger,,2:50,D,36764,0,++++++++, CLE,Joe Ross (R),Mike Clevinger (R),W 152,O 9
161,Saturday Sep 28,WSN,W,10,7,,92-69,2,5,Hudson,Plutko,,3:10,D,38435,0.05,+++++++, CLE,Patrick Corbin (L),Adam Plutko (R),W -270,O 9
160,Friday Sep 27,WSN,W,8,2,,91-69,2,6,Voth,Goody,,2:44,N,27434,0.2,++++++, CLE,Austin Voth (R),Zach Plesac (R),W -141,O 9.5
159,Thursday Sep 26,WSN,W,6,3,,90-69,2,7,Strasburg,Vargas,Hudson,3:26,D,22253,0.25,+++++, PHI,Stephen Strasburg (R),Jason Vargas (L),W -245,P 9
158,Wednesday Sep 25,WSN,W,5,2,,89-69,2,7.5,Sanchez,Morin,Doolittle,2:45,N,22091,0.23,++++, PHI,Anibal Sanchez (R),Drew Smyly (L),W -160,U 10
157,Tuesday Sep 24 (2),WSN,W,6,5,,88-69,2,7.5,Scherzer,Nola,Hudson,3:06,N,22214,0.22,+++, PHI,Max Scherzer (R),Aaron Nola (R),W -228,O 7.5
156,Tuesday Sep 24 (1),WSN,W,4,1,,87-69,2,7.5,Rainey,Vincent,Hudson,3:07,D,23442,0.3,++, PHI,Joe Ross (R),Blake Parker (R),W -158,U 10.5
155,Monday Sep 23,WSN,W,7,2,,86-69,2,9,Corbin,Eflin,,3:19,N,19788,0.55,+, PHI,Patrick Corbin (L),Zach Eflin (R),W -207,P 9
154,Sunday Sep 22,WSN,L,3,5,,85-69,2,9.5,Garcia,Suero,Brigham,3:13,D,19709,0.38,-, @ MIA,Austin Voth (R),Pablo Lopez (R),L -184,U 8.5
153,Saturday Sep 21,WSN,W,10,4,10,85-68,2,9.5,Suero,Urena,,4:20,N,18085,0.71,++, @ MIA,Stephen Strasburg (R),Jordan Yamamoto (R),W -318,O 8
